,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
gene:PHAVU_006G196000g,"237,755718319","5,4548249514","1,9226228622","2,8371788657","0,0045514107","0,2573199794"
gene:PHAVU_006G204000g,"7560,1870929557","6,4536816663","1,9289339772","3,3457245","0,0008206789","0,0843022575"
gene:PHAVU_006G205700g,"1226,1004946891","5,4738530852","1,8455709829","2,965940154","0,003017592","0,1899055346"
gene:PHAVU_007G010100g,"12729,7339522819","5,5800358925","1,8389874828","3,0342979192","0,0024109622","0,162658218"
gene:PHAVU_007G051300g,"387,5251427504","8,6479667355","2,3611520602","3,6626047434","0,0002496636","0,0374759968"
gene:PHAVU_007G052000g,"54,4818247746","9,2637504301","3,0867909423","3,0010942118","0,0026901132",NA
gene:PHAVU_007G055100g,"5116,2880959241","5,3920130971","1,821927208","2,9595107168","0,0030812798","0,1923926969"
gene:PHAVU_007G055700g,"612,1607481646","6,2043120348","1,9494754958","3,1825545119","0,0014598203","0,1162162965"
gene:PHAVU_007G057600g,"840,4655376962","4,5169991647","1,7438526453","2,5902413124","0,0095908675","0,4229579828"
gene:PHAVU_007G061000g,"3721,3310068996","8,0516280645","2,087234119","3,8575586663","0,0001145252","0,0211026456"
gene:PHAVU_007G099600g,"564,5725420349","4,7855301261","1,7872800185","2,6775491677","0,0074162967","0,3633300788"
gene:PHAVU_007G103900g,"2321,5187348509","5,0838582513","1,7935669908","2,834495883","0,0045898049","0,2573199794"
gene:PHAVU_007G108200g,"740,5451298103","5,9183732229","1,9086552584","3,1008078577","0,0019299348","0,1412022411"
gene:PHAVU_007G110700g,"190,5381368477","5,1272517757","1,9017477492","2,6960735343","0,0070162176","0,3520637368"
gene:PHAVU_007G113100g,"37,8778400814","8,7393319123","3,1281406072","2,7937784804","0,0052096152",NA
gene:PHAVU_007G121500g,"7985,3306385267","4,4648599756","1,7170733507","2,6002732927","0,0093149544","0,4154417492"
gene:PHAVU_007G122600g,"1185,4800321361","4,7527326117","1,7646587439","2,6932870891","0,0070751318","0,3531355738"
gene:PHAVU_007G125400g,"242,4997139457","5,7793246174","1,9637734222","2,9429691594","0,003250808","0,2021850202"
gene:PHAVU_007G1271001g,"57,5950719046","9,343920298","3,0824367918","3,0313420613","0,0024346926",NA
gene:PHAVU_007G127200g,"635,0653520494","6,4407985949","1,975070694","3,2610471182","0,0011100159","0,0984923102"
gene:PHAVU_007G130200g,"1679,7821389516","6,5426549336","1,9535593192","3,349094583","0,0008107611","0,0838872408"
gene:PHAVU_007G136800g,"278,0426186796","8,1675696351","2,3360983681","3,4962438854","0,0004718572","0,0577916201"
gene:PHAVU_007G140900g,"524,4338915377","-7,3875535732","2,1102513181","-3,5007932515","0,0004638756","0,0572544709"
gene:PHAVU_007G141900g,"710489,100768162","11,0073610656","2,2934217485","4,7995363578","1,59E-06","0,002302829"
gene:PHAVU_007G1422001g,"127369,055394206","11,0001418718","2,2956941677","4,7916408146","1,65E-06","0,002302829"
gene:PHAVU_007G1422000g,"407243,07876046","10,9501323553","2,2898637857","4,7820016298","1,74E-06","0,002302829"
gene:PHAVU_007G142500g,"721064,801268693","11,028687591","2,2948761542","4,8057876984","1,54E-06","0,002302829"
gene:PHAVU_007G142600g,"720950,092936939","11,0264434818","2,294720574","4,8051355824","1,55E-06","0,002302829"
gene:PHAVU_007G143000g,"23327,2271827224","5,6045744467","1,8406534098","3,0448830925","0,0023277077","0,1583835994"
gene:PHAVU_007G145700g,"2405,3169700994","9,962048531","2,3087514249","4,3149073666","1,60E-05","0,006200642"
gene:PHAVU_007G145800g,"4930,6422045663","5,7396715926","1,8589092917","3,0876555506","0,0020174216","0,1442603146"
gene:PHAVU_007G152300g,"10909,6703801523","5,5694288935","1,838203881","3,0298210938","0,0024469864","0,1630163919"
gene:PHAVU_007G159900g,"162,3706628146","8,3922614829","2,576376435","3,257389475","0,0011244204","0,0984923102"
gene:PHAVU_007G162100g,"3254,3439374031","6,293935604","1,9187040166","3,2803056383","0,0010369468","0,096867725"
gene:PHAVU_007G162200g,"3568,5224602699","5,4828066042","1,8336616181","2,9900863661","0,0027889858","0,1794167663"
gene:PHAVU_007G166300g,"5244,635415104","7,8803909599","2,0660317543","3,8142642016","0,0001365893","0,0236388538"
gene:PHAVU_007G170100g,"573,6157836982","4,5420485808","1,7575626339","2,5842883168","0,0097580184","0,4256634776"
gene:PHAVU_007G173400g,"1172,4340441629","6,1409726821","1,9192881004","3,1996096266","0,0013761384","0,1132889033"
gene:PHAVU_007G192200g,"2039,1398076689","8,1351622454","2,1114277531","3,8529200128","0,0001167175","0,0211179144"
gene:PHAVU_007G195500g,"1439,1726107634","6,4840449674","1,9508234174","3,3237477618","0,0008881649","0,0875273606"
gene:PHAVU_007G208000g,"1055,6131518571","6,6233145286","1,974345875","3,3546880577","0,0007945453","0,0832286165"
gene:PHAVU_007G219600g,"426,477794341","9,7880855521","2,6322830561","3,7184775891","0,0002004271","0,0315960377"
gene:PHAVU_007G223100g,"668,6439460941","5,3594276581","1,84855276","2,8992559877","0,0037404937","0,2247401522"
gene:PHAVU_007G230700g,"3348,8902877432","4,5111806435","1,7258261124","2,6139253607","0,0089508588","0,4063881104"
gene:PHAVU_007G230800g,"169,1530940621","10,8982189575","3,0669692352","3,5534164583","0,000380262","0,0496273019"
