Contigs/genes number,CA_2to10DPI_align_un.txt,CA_2to10DPI_align_mult.txt,CA_11to28DPI_align_un.txt,CA_11to28DPI_align_mult.txt,CA_root_align_un.txt,CA_root_align_mult.txt
CONTIG256,0,0,3,3,0,0
CONTIG257,5,5,2,2,0,0
CONTIG258,1,1,2,2,6,6
CONTIG259,0,0,0,0,0,0
CONTIG260,2,2,2,2,1,1
CONTIG261,0,0,0,0,0,0
CONTIG262,0,0,0,0,0,0
CONTIG263,0,0,0,0,1,1
CONTIG264,0,0,1,1,0,0
CONTIG265,2,2,5,5,1,1
CONTIG266,1,1,0,0,0,0
CONTIG267,9,9,1,1,1,1
CONTIG268,0,0,1,1,0,0
CONTIG269,0,0,0,0,0,0
CONTIG270,1,1,1,1,3,3
CONTIG271,2,2,5,5,2,2
CONTIG272,0,0,6,6,0,0
CONTIG273,6,8,8,8,9,11
CONTIG274,0,0,1,1,0,0
CONTIG275,0,0,0,0,0,0
CONTIG276,0,0,2,2,0,0
CONTIG277,0,0,0,0,0,0
CONTIG278,0,0,0,0,0,0
CONTIG279,4,4,20,20,7,9
CONTIG280,0,0,0,0,0,0
CONTIG281,6,6,4,4,3,3
CONTIG282,8,8,1,1,2,2
CONTIG283,2,2,7,7,0,0
CONTIG284,0,0,51,53,0,0
CONTIG285,0,0,0,0,0,0
CONTIG286,0,0,0,0,5,5
CONTIG287,1,1,1,1,1,1
CONTIG288,8,12,7,9,5,7
CONTIG289,34,36,20,20,41,45
CONTIG290,0,0,0,0,0,0
CONTIG291,6,6,3,3,4,4
CONTIG292,1,1,1,1,8,8
CONTIG293,0,0,0,0,0,0
CONTIG294,0,0,0,0,0,0
CONTIG295,0,0,0,0,0,0
CONTIG296,3,3,0,0,3,3
CONTIG297,0,0,0,0,0,0
CONTIG298,5,5,8,8,10,10
CONTIG299,1,1,8,8,1,1
CONTIG300,0,0,0,0,0,0
CONTIG301,0,0,0,0,0,0
CONTIG302,0,0,1,1,0,0
CONTIG303,0,0,1,1,0,0
CONTIG304,2,2,2,2,5,5
CONTIG305,8,8,8,8,9,9
CONTIG306,0,0,0,0,0,0
CONTIG307,2,2,3,3,0,0
CONTIG308,2,2,1,1,2,2
CONTIG309,2,2,3,3,6,6
CONTIG310,8,8,11,11,15,17
