Contigs/genes number,CA_2to10DPI_align_un.txt,CA_2to10DPI_align_mult.txt,CA_11to28DPI_align_un.txt,CA_11to28DPI_align_mult.txt,CA_root_align_un.txt,CA_root_align_mult.txt
CONTIG40087,0,0,1,1,0,0
CONTIG40088,0,0,0,0,0,0
CONTIG40089,0,0,0,0,1,1
CONTIG40090,0,0,0,0,0,0
CONTIG40091,0,0,0,0,1,1
CONTIG40092,0,0,3,3,2,2
CONTIG40093,0,0,0,0,0,0
CONTIG40094,23,23,11,11,31,31
CONTIG40095,1,1,0,0,0,0
CONTIG40096,0,0,2,2,0,0
CONTIG40097,0,0,3,3,2,2
CONTIG40098,0,0,4,4,3,3
CONTIG40099,1,1,0,0,0,0
CONTIG40100,1,1,1,5,1,1
CONTIG40101,1,1,0,0,0,0
CONTIG40102,0,0,0,0,0,0
CONTIG40103,2,2,0,0,2,2
CONTIG40104,0,0,0,0,0,0
CONTIG40105,0,0,5,5,0,0
CONTIG40106,1,1,14,14,8,8
CONTIG40107,0,0,0,0,0,0
CONTIG40108,1,1,9,9,4,4
CONTIG40109,0,0,0,0,0,0
CONTIG40110,0,0,0,0,0,0
CONTIG40111,0,0,0,0,1,1
CONTIG40112,0,0,1,1,0,0
CONTIG40113,0,0,1,1,0,0
CONTIG40114,7,7,25,25,12,12
CONTIG40115,1,1,0,0,1,1
CONTIG40116,0,0,1,1,0,0
CONTIG40117,1,1,0,0,0,0
CONTIG40118,0,0,4,4,2,2
CONTIG40119,3,3,0,0,0,0
CONTIG40120,2,2,0,0,2,2
CONTIG40121,0,0,0,0,0,0
CONTIG40122,0,0,0,0,0,0
CONTIG40123,0,0,0,0,0,0
CONTIG40124,0,0,0,0,0,0
CONTIG40125,0,0,0,0,1,1
CONTIG40126,0,0,1,1,0,0
CONTIG40127,0,0,0,0,0,0
CONTIG40128,0,0,0,0,0,0
CONTIG40129,0,0,5,5,1,1
CONTIG40130,3,3,2,2,2,2
CONTIG40131,1,1,0,0,2,2
CONTIG40132,1,1,0,0,0,0
CONTIG40133,1,1,0,0,0,0
CONTIG40134,0,0,2,2,0,0
CONTIG40135,0,0,0,0,0,0
CONTIG40136,1,1,1,1,0,0
CONTIG40137,0,0,0,0,0,0
CONTIG40138,0,0,3,3,0,0
CONTIG40139,0,0,0,0,0,0
CONTIG40140,0,0,0,0,1,1
CONTIG40141,0,0,4,4,0,0
CONTIG40142,2,2,1,1,0,0
CONTIG40143,0,0,1,1,0,0
CONTIG40144,0,0,0,0,0,0
CONTIG40145,3,3,0,0,0,0
CONTIG40146,6,6,4,4,9,11
CONTIG40147,0,0,0,0,0,0
CONTIG40148,0,0,1,1,0,0
CONTIG40149,0,0,0,0,0,0
CONTIG40150,0,0,0,0,0,0
CONTIG40151,0,0,1,1,0,0
CONTIG40152,0,0,1,1,1,1
CONTIG40153,0,0,0,0,0,0
CONTIG40154,0,0,1,1,0,0
CONTIG40155,0,0,0,0,0,0
CONTIG40156,0,2,1,1,0,0
CONTIG40157,0,0,0,0,0,0
CONTIG40158,0,0,0,0,0,0
CONTIG40159,0,0,0,0,0,0
CONTIG40160,0,0,0,0,0,0
CONTIG40161,0,0,0,0,0,0
CONTIG40162,0,0,0,0,0,0
CONTIG40163,1,1,0,0,0,0
CONTIG40164,0,0,0,0,0,0
CONTIG40165,0,0,0,0,0,0
CONTIG40166,0,0,0,0,0,0
CONTIG40167,0,0,0,0,0,0
CONTIG40168,0,0,0,0,0,0
CONTIG40169,1,1,0,0,0,0
CONTIG40170,0,0,0,0,0,0
CONTIG40171,0,0,1,1,0,0
CONTIG40172,1,1,0,0,0,0
CONTIG40173,0,0,0,0,1,1
CONTIG40174,4,4,8,8,3,3
CONTIG40175,0,0,3,3,0,0
CONTIG40176,2,2,3,3,1,1
CONTIG40177,2,2,1,1,2,2
CONTIG40178,0,0,0,0,0,0
CONTIG40179,0,0,0,0,0,0
CONTIG40180,1,1,3,3,0,0
CONTIG40181,3,3,15,15,4,4
CONTIG40182,0,0,1,1,0,0
CONTIG40183,0,0,0,0,0,0
CONTIG40184,0,0,1,1,0,0
CONTIG40185,1,1,2,2,2,2
CONTIG40186,1,1,0,0,0,0
CONTIG40187,0,0,0,0,0,0
CONTIG40188,0,0,0,0,0,0
CONTIG40189,0,0,3,3,0,0
CONTIG40190,1,1,0,0,0,0
CONTIG40191,0,0,0,0,0,0
CONTIG40192,0,0,0,0,0,0
CONTIG40193,0,0,0,0,0,0
CONTIG40194,1,1,0,0,0,0
CONTIG40195,1,1,0,0,0,0
CONTIG40196,2,2,11,11,3,3
CONTIG40197,2,2,6,6,2,2
CONTIG40198,0,0,0,0,1,1
CONTIG40199,0,0,0,0,0,0
CONTIG40200,2,2,5,5,5,5
CONTIG40201,0,0,2,2,0,0
CONTIG40202,0,0,2,2,1,1
CONTIG40203,1,1,2,2,3,3
CONTIG40204,0,0,2,2,0,0
CONTIG40205,5,5,8,8,3,3
CONTIG40206,11,11,19,19,10,10
CONTIG40207,1,1,1,1,0,0
CONTIG40208,1,1,2,2,2,2
CONTIG40209,0,0,3,3,0,0
CONTIG40210,0,0,2,2,0,0
CONTIG40211,0,0,1,1,0,0
CONTIG40212,0,0,0,0,0,0
CONTIG40213,0,0,0,0,0,0
CONTIG40214,0,0,0,0,0,0
CONTIG40215,0,0,2,2,0,0
CONTIG40216,1,1,2,2,0,0
CONTIG40217,0,0,0,0,0,0
CONTIG40218,1,1,0,0,0,0
CONTIG40219,0,0,0,0,0,0
CONTIG40220,0,0,0,0,0,0
CONTIG40221,0,0,0,0,0,0
CONTIG40222,3,3,2,2,3,3
CONTIG40223,0,0,0,0,0,0
CONTIG40224,1,1,0,0,0,0
CONTIG40225,1,1,5,5,2,2
CONTIG40226,0,0,5,5,0,0
CONTIG40227,0,0,0,0,0,0
CONTIG40228,11,13,12,12,12,12
CONTIG40229,1,1,2,2,0,0
CONTIG40230,0,0,0,0,0,0
CONTIG40231,0,0,0,0,0,0
CONTIG40232,0,0,0,0,0,0
CONTIG40233,0,0,0,0,0,0
CONTIG40234,0,0,0,0,0,0
CONTIG40235,0,0,0,0,0,0
CONTIG40236,0,0,0,0,0,0
CONTIG40237,0,0,0,0,0,0
CONTIG40238,1,1,0,0,0,0
CONTIG40239,0,0,1,1,0,0
CONTIG40240,0,0,0,0,0,0
CONTIG40241,1,1,0,0,0,0
CONTIG40242,5,5,4,4,1,1
CONTIG40243,1,1,10,10,0,0
CONTIG40244,0,0,0,0,0,0
CONTIG40245,0,0,0,0,0,0
CONTIG40246,0,0,1,1,0,0
CONTIG40247,0,0,3,3,0,0
CONTIG40248,0,0,0,0,0,0
CONTIG40249,0,0,1,1,0,0
CONTIG40250,0,0,0,0,0,0
CONTIG40251,0,0,1,1,0,0
CONTIG40252,0,0,0,0,0,0
CONTIG40253,0,0,1,1,0,0
CONTIG40254,0,2,2,2,2,2
CONTIG40255,0,0,0,0,0,0
CONTIG40256,0,0,1,1,0,0
CONTIG40257,2,2,9,9,1,1
CONTIG40258,0,0,0,0,0,0
CONTIG40259,0,0,4,4,0,0
CONTIG40260,1,1,0,0,0,0
CONTIG40261,0,0,0,0,0,0
CONTIG40262,0,0,0,0,0,0
CONTIG40263,0,0,0,0,2,2
CONTIG40264,0,0,0,0,0,0
CONTIG40265,0,0,0,0,0,0
CONTIG40266,1,1,1,1,0,0
CONTIG40267,1,1,1,1,0,0
CONTIG40268,25,25,5,5,0,0
CONTIG40269,0,0,1,1,0,0
CONTIG40270,0,0,0,0,1,1
CONTIG40271,0,0,0,0,0,0
CONTIG40272,1,1,0,0,0,0
CONTIG40273,1,1,1,1,5,5
CONTIG40274,0,0,0,0,0,0
CONTIG40275,0,0,0,0,0,0
CONTIG40276,0,0,0,0,0,0
CONTIG40277,0,0,0,0,0,0
CONTIG40278,2,2,0,0,0,0
CONTIG40279,0,0,0,0,0,0
CONTIG40280,0,0,3,3,1,1
CONTIG40281,0,0,0,0,1,1
CONTIG40282,0,0,0,0,0,0
CONTIG40283,0,0,0,0,0,0
CONTIG40284,0,0,0,0,0,0
CONTIG40285,0,0,0,0,0,0
CONTIG40286,0,0,0,0,0,0
CONTIG40287,0,0,0,0,0,0
CONTIG40288,1,1,0,0,1,1
CONTIG40289,0,0,0,0,1,1
CONTIG40290,0,0,1,1,0,0
CONTIG40291,0,0,0,0,0,0
CONTIG40292,1,1,0,0,0,0
CONTIG40293,1,1,0,0,1,1
CONTIG40294,1,1,0,0,0,0
CONTIG40295,16,16,24,26,17,17
CONTIG40296,8,8,4,4,6,6
CONTIG40297,18,24,38,43,15,16
CONTIG40298,5,5,10,10,0,0
CONTIG40299,0,0,1,1,1,1
CONTIG40300,1,1,0,0,0,0
CONTIG40301,1,1,3,3,3,3
CONTIG40302,0,0,0,0,0,0
CONTIG40303,0,0,2,2,1,1
CONTIG40304,0,0,0,0,0,0
CONTIG40305,3,3,0,0,0,0
CONTIG40306,0,0,0,0,0,0
CONTIG40307,0,0,1,1,0,0
CONTIG40308,0,0,0,0,0,0
CONTIG40309,0,0,1,1,0,0
CONTIG40310,0,0,0,0,0,0
CONTIG40311,2,2,1,1,0,0
CONTIG40312,0,0,0,0,0,0
CONTIG40313,1,1,0,0,0,0
CONTIG40314,0,0,0,0,0,0
CONTIG40315,0,0,0,0,0,0
CONTIG40316,0,0,0,0,0,0
CONTIG40317,0,0,0,0,0,0
CONTIG40318,0,0,0,0,0,0
CONTIG40319,4,4,0,0,0,0
CONTIG40320,0,0,0,0,0,0
CONTIG40321,0,0,0,0,0,0
CONTIG40322,1,1,1,1,2,2
CONTIG40323,0,2,1,1,0,0
CONTIG40324,0,0,1,1,0,0
CONTIG40325,7,7,16,16,11,11
CONTIG40326,8,8,4,4,8,8
CONTIG40327,32,36,44,55,17,18
CONTIG40328,7,7,14,14,2,2
CONTIG40329,4,4,20,20,5,5
CONTIG40330,0,0,0,0,0,0
CONTIG40331,0,0,0,0,0,0
CONTIG40332,0,0,0,0,1,1
CONTIG40333,0,0,0,0,1,1
CONTIG40334,3,3,3,3,2,2
CONTIG40335,0,0,0,0,0,0
CONTIG40336,4,4,2,2,0,0
CONTIG40337,0,0,0,0,0,0
CONTIG40338,0,0,4,4,1,1
CONTIG40339,0,0,0,0,0,0
CONTIG40340,0,0,0,0,0,0
CONTIG40341,0,0,0,0,0,0
CONTIG40342,6,6,1,1,0,0
CONTIG40343,3,3,3,3,1,1
CONTIG40344,5,5,2,2,5,5
CONTIG40345,2,2,14,14,5,5
CONTIG40346,2,4,15,15,4,4
CONTIG40347,0,0,0,0,0,0
CONTIG40348,0,0,2,2,0,0
CONTIG40349,0,0,0,0,0,0
CONTIG40350,0,0,0,0,0,0
CONTIG40351,0,0,0,0,0,0
CONTIG40352,0,0,0,0,0,0
CONTIG40353,0,0,0,0,0,0
CONTIG40354,0,0,0,0,0,0
CONTIG40355,0,0,0,0,0,0
CONTIG40356,0,0,1,1,0,0
CONTIG40357,0,0,0,0,0,0
CONTIG40358,0,0,0,0,0,0
CONTIG40359,1,1,0,0,0,0
CONTIG40360,0,0,0,0,1,1
CONTIG40361,0,0,0,0,1,1
CONTIG40362,0,0,0,0,0,0
CONTIG40363,0,0,0,0,0,0
CONTIG40364,0,0,0,0,2,2
CONTIG40365,6,6,0,0,9,11
CONTIG40366,0,0,0,0,5,5
CONTIG40367,0,0,1,1,0,0
CONTIG40368,0,0,3,3,0,0
CONTIG40369,0,0,0,0,0,0
CONTIG40370,1,1,1,1,0,0
CONTIG40371,0,0,0,0,0,0
CONTIG40372,0,0,0,0,0,0
CONTIG40373,0,0,0,0,0,0
CONTIG40374,8,8,5,5,6,6
CONTIG40375,1,1,0,0,0,0
CONTIG40376,5,5,0,0,2,2
CONTIG40377,0,0,0,0,0,0
CONTIG40378,1,1,0,0,0,0
CONTIG40379,0,0,1,1,0,0
CONTIG40380,1,1,0,0,0,0
CONTIG40381,0,0,0,0,0,0
CONTIG40382,0,0,1,1,1,1
CONTIG40383,0,0,0,0,0,0
CONTIG40384,0,0,4,4,1,1
CONTIG40385,0,0,0,0,2,2
CONTIG40386,0,0,0,0,0,0
CONTIG40387,1,1,0,0,0,0
CONTIG40388,0,0,0,0,0,0
CONTIG40389,0,0,0,0,0,0
CONTIG40390,0,0,0,0,1,1
CONTIG40391,0,0,0,0,1,1
CONTIG40392,3,3,4,4,6,6
CONTIG40393,0,0,1,1,0,0
CONTIG40394,0,0,1,1,0,0
CONTIG40395,0,0,1,1,0,0
CONTIG40396,0,0,1,1,0,0
CONTIG40397,0,0,0,0,0,0
CONTIG40398,0,0,0,0,0,0
CONTIG40399,0,0,0,0,0,0
CONTIG40400,0,0,0,0,0,0
CONTIG40401,3,3,1,1,0,0
CONTIG40402,0,0,0,0,0,0
CONTIG40403,1,1,0,0,0,0
CONTIG40404,1,1,0,0,1,1
CONTIG40405,0,0,0,0,1,1
CONTIG40406,0,0,1,1,0,0
CONTIG40407,0,0,0,0,0,0
CONTIG40408,1,1,0,0,0,0
CONTIG40409,0,0,0,0,1,1
CONTIG40410,0,0,1,1,1,1
CONTIG40411,0,0,0,0,1,1
CONTIG40412,1,1,1,1,1,1
CONTIG40413,0,0,0,0,0,0
CONTIG40414,0,0,3,3,2,2
CONTIG40415,0,0,0,0,1,1
CONTIG40416,1,1,1,1,2,2
CONTIG40417,3,3,0,0,0,0
CONTIG40418,3,3,0,0,8,8
CONTIG40419,0,0,0,0,0,0
CONTIG40420,0,0,6,6,2,2
CONTIG40421,0,0,1,1,2,2
CONTIG40422,3,3,3,3,1,1
CONTIG40423,0,0,3,3,5,5
CONTIG40424,0,0,5,5,1,1
CONTIG40425,0,0,6,6,3,3
CONTIG40426,1,1,1,1,0,0
CONTIG40427,0,0,0,0,0,0
CONTIG40428,0,0,0,0,0,0
CONTIG40429,0,0,5,5,0,0
CONTIG40430,0,2,10,10,0,0
CONTIG40431,4,4,7,7,4,4
CONTIG40432,0,0,0,0,0,0
CONTIG40433,39,41,65,65,49,53
CONTIG40434,0,0,3,3,0,0
CONTIG40435,0,0,0,0,0,0
CONTIG40436,0,0,0,0,0,0
CONTIG40437,1,1,1,1,1,1
CONTIG40438,0,0,0,0,6,6
CONTIG40439,6,6,15,15,21,21
CONTIG40440,0,0,0,0,0,0
CONTIG40441,1,1,2,2,1,1
CONTIG40442,1,1,1,1,1,1
CONTIG40443,0,0,1,1,0,0
CONTIG40444,1,1,0,0,0,0
CONTIG40445,0,0,1,1,0,0
CONTIG40446,1,1,0,0,0,0
CONTIG40447,0,0,0,0,0,0
CONTIG40448,0,0,0,0,0,0
CONTIG40449,0,0,0,0,0,0
CONTIG40450,0,0,0,0,0,0
CONTIG40451,0,0,0,0,1,1
CONTIG40452,0,0,0,0,0,0
CONTIG40453,0,0,0,0,0,0
CONTIG40454,0,0,0,0,0,0
CONTIG40455,0,0,0,0,0,0
CONTIG40456,0,0,1,1,0,0
CONTIG40457,0,0,0,0,0,0
CONTIG40458,0,0,0,0,0,0
CONTIG40459,0,0,0,0,0,0
CONTIG40460,0,0,5,5,2,2
CONTIG40461,1,1,2,2,0,0
CONTIG40462,1,1,0,0,0,0
CONTIG40463,2,2,26,26,14,14
CONTIG40464,0,0,0,0,0,0
CONTIG40465,0,0,4,4,2,2
CONTIG40466,0,0,1,1,0,0
CONTIG40467,1,1,8,8,12,12
CONTIG40468,0,0,0,0,0,0
CONTIG40469,0,0,0,0,0,0
CONTIG40470,0,0,0,0,0,0
CONTIG40471,0,0,0,0,0,0
CONTIG40472,0,0,0,0,0,0
CONTIG40473,0,0,0,0,0,0
CONTIG40474,0,0,0,0,0,0
CONTIG40475,0,0,0,0,0,0
CONTIG40476,0,0,0,0,0,0
CONTIG40477,1,1,0,0,1,1
CONTIG40478,1,1,0,0,0,0
CONTIG40479,1,1,0,0,0,0
CONTIG40480,0,0,2,2,0,0
CONTIG40481,0,0,2,2,0,0
CONTIG40482,0,0,1,1,0,0
CONTIG40483,0,0,0,0,0,0
CONTIG40484,0,0,0,0,0,0
CONTIG40485,1,1,8,8,5,5
CONTIG40486,0,0,0,0,0,0
CONTIG40487,15,15,0,0,0,0
CONTIG40488,7,7,3,3,6,6
CONTIG40489,3,3,0,0,0,0
CONTIG40490,0,0,2,2,0,0
CONTIG40491,0,0,0,0,0,0
CONTIG40492,0,0,1,1,0,0
CONTIG40493,0,0,1,1,0,0
CONTIG40494,0,0,0,0,0,0
CONTIG40495,3,3,4,4,1,1
CONTIG40496,0,0,0,0,0,0
CONTIG40497,0,0,0,0,0,0
CONTIG40498,0,0,0,0,0,0
CONTIG40499,0,0,0,0,0,0
CONTIG40500,0,0,0,0,0,0
CONTIG40501,0,0,7,7,0,0
CONTIG40502,2,2,0,0,1,1
CONTIG40503,2,2,2,2,1,1
CONTIG40504,2,2,0,0,1,1
CONTIG40505,1,1,7,7,2,2
CONTIG40506,7,7,10,10,13,13
CONTIG40507,1,1,0,0,0,0
CONTIG40508,0,0,1,1,0,0
CONTIG40509,1,1,0,0,0,0
CONTIG40510,1,1,0,0,0,0
CONTIG40511,0,0,1,1,0,0
CONTIG40512,0,0,0,0,0,0
CONTIG40513,0,0,1,1,0,0
CONTIG40514,0,0,0,0,1,1
CONTIG40515,0,0,0,0,1,1
CONTIG40516,0,0,0,0,0,0
CONTIG40517,1,1,0,0,0,0
CONTIG40518,2,2,1,1,2,2
CONTIG40519,0,0,0,0,0,0
CONTIG40520,0,0,2,2,0,0
CONTIG40521,0,0,0,0,1,1
CONTIG40522,0,0,3,3,0,0
CONTIG40523,0,0,3,3,0,0
CONTIG40524,0,0,0,0,0,0
CONTIG40525,0,0,4,5,0,0
CONTIG40526,0,0,5,5,0,0
CONTIG40527,0,0,1,1,2,2
CONTIG40528,0,0,4,4,0,0
CONTIG40529,0,0,0,0,2,2
CONTIG40530,0,0,0,0,0,0
CONTIG40531,0,0,0,0,0,0
CONTIG40532,0,0,0,0,0,0
CONTIG40533,0,0,5,5,1,1
CONTIG40534,0,0,0,0,0,0
CONTIG40535,0,0,0,0,0,0
CONTIG40536,6,6,2,2,1,1
CONTIG40537,0,0,0,0,0,0
CONTIG40538,0,0,0,0,0,0
CONTIG40539,0,0,0,0,0,0
CONTIG40540,0,0,0,0,0,0
CONTIG40541,1,1,0,0,0,0
CONTIG40542,1,1,0,0,3,3
CONTIG40543,0,0,0,0,0,0
CONTIG40544,0,0,0,0,0,0
CONTIG40545,3,3,19,19,8,8
CONTIG40546,1,1,3,3,0,0
CONTIG40547,0,0,0,0,5,5
CONTIG40548,2,2,3,3,1,1
CONTIG40549,0,0,0,0,0,0
CONTIG40550,0,0,2,2,2,2
CONTIG40551,0,0,1,1,0,0
CONTIG40552,2,2,5,5,5,5
CONTIG40553,0,0,1,1,0,0
CONTIG40554,0,0,0,0,0,0
CONTIG40555,0,0,0,0,1,1
CONTIG40556,0,0,1,1,0,0
CONTIG40557,0,0,0,0,0,0
CONTIG40558,1,1,2,2,4,4
CONTIG40559,6,6,2,2,6,6
CONTIG40560,0,0,0,0,1,1
CONTIG40561,0,0,0,0,1,1
CONTIG40562,2,2,7,7,5,5
CONTIG40563,0,0,1,1,0,0
CONTIG40564,7,7,1,1,4,4
CONTIG40565,0,0,0,0,0,0
CONTIG40566,1,1,5,5,1,1
CONTIG40567,0,0,0,0,0,0
CONTIG40568,0,0,5,5,0,0
CONTIG40569,0,0,0,0,0,0
CONTIG40570,0,0,1,1,0,0
CONTIG40571,2,2,11,11,2,2
CONTIG40572,0,0,0,0,1,1
CONTIG40573,0,0,0,0,0,0
CONTIG40574,0,0,0,0,1,1
CONTIG40575,1,1,0,0,1,1
CONTIG40576,6,6,4,4,0,0
CONTIG40577,1,1,1,1,1,1
CONTIG40578,0,0,1,1,0,0
CONTIG40579,0,0,1,1,0,0
CONTIG40580,0,0,0,0,1,1
CONTIG40581,0,0,0,0,0,0
CONTIG40582,1,1,4,4,0,0
CONTIG40583,0,0,0,0,0,0
CONTIG40584,0,0,0,0,0,0
CONTIG40585,0,0,0,0,0,0
CONTIG40586,7,7,3,3,4,4
CONTIG40587,0,0,0,0,0,0
CONTIG40588,0,0,0,0,0,0
CONTIG40589,0,0,2,2,0,0
CONTIG40590,0,0,0,0,0,0
CONTIG40591,0,0,0,0,0,0
CONTIG40592,0,0,0,0,0,0
CONTIG40593,0,0,0,0,0,0
CONTIG40594,0,0,1,1,0,0
CONTIG40595,0,0,0,0,0,0
CONTIG40596,1,1,2,2,0,0
CONTIG40597,0,0,2,2,0,0
CONTIG40598,2,2,6,6,8,8
CONTIG40599,3,3,7,7,2,2
CONTIG40600,0,0,1,1,0,0
CONTIG40601,0,0,0,0,0,0
CONTIG40602,0,0,0,0,0,0
CONTIG40603,2,2,4,4,0,0
CONTIG40604,0,0,0,0,0,0
CONTIG40605,0,0,0,0,0,0
CONTIG40606,0,0,0,0,0,0
CONTIG40607,0,0,5,5,0,0
CONTIG40608,0,0,1,1,0,0
CONTIG40609,0,0,0,0,0,0
CONTIG40610,0,0,1,1,0,0
CONTIG40611,0,0,0,0,0,0
CONTIG40612,0,0,1,1,0,0
CONTIG40613,0,0,0,0,1,1
CONTIG40614,0,0,0,0,0,0
CONTIG40615,0,0,0,0,0,0
CONTIG40616,0,0,0,0,0,0
CONTIG40617,0,0,0,0,1,1
CONTIG40618,0,0,2,2,0,0
CONTIG40619,0,0,2,2,0,0
CONTIG40620,0,0,0,0,0,0
CONTIG40621,0,0,0,0,0,0
CONTIG40622,1,3,1,1,0,0
CONTIG40623,0,0,0,0,0,0
CONTIG40624,0,0,0,0,0,0
CONTIG40625,8,8,11,11,8,8
CONTIG40626,5,5,4,4,13,13
CONTIG40627,1,1,0,0,4,4
CONTIG40628,0,0,0,0,3,3
CONTIG40629,3,3,3,3,12,12
CONTIG40630,0,0,0,0,2,2
CONTIG40631,3,3,5,5,13,13
CONTIG40632,0,0,2,2,0,0
CONTIG40633,1,1,2,2,13,13
CONTIG40634,0,0,0,0,8,8
CONTIG40635,3,3,1,1,3,3
CONTIG40636,1,3,5,5,5,5
CONTIG40637,0,0,1,1,0,0
CONTIG40638,0,0,0,0,0,0
CONTIG40639,0,0,0,0,0,0
CONTIG40640,1,1,3,3,5,5
CONTIG40641,3,3,0,0,0,0
CONTIG40642,0,0,0,0,0,0
CONTIG40643,0,0,2,2,0,0
CONTIG40644,0,0,0,0,0,0
CONTIG40645,2,2,1,1,0,0
CONTIG40646,0,0,0,0,0,0
CONTIG40647,0,0,0,0,0,0
CONTIG40648,0,0,0,0,1,1
CONTIG40649,0,0,0,0,0,0
CONTIG40650,0,0,1,1,0,0
CONTIG40651,0,0,0,0,1,1
CONTIG40652,0,0,1,1,2,2
CONTIG40653,0,0,1,1,0,0
CONTIG40654,0,0,0,0,0,0
CONTIG40655,0,0,0,0,0,0
CONTIG40656,0,0,0,0,0,0
CONTIG40657,0,0,0,0,0,0
CONTIG40658,1,1,0,0,0,0
CONTIG40659,0,0,0,0,0,0
CONTIG40660,0,0,1,1,0,0
CONTIG40661,7,7,2,2,3,3
CONTIG40662,4,4,3,3,6,6
CONTIG40663,0,0,1,1,0,0
CONTIG40664,6,6,0,0,1,1
CONTIG40665,0,0,0,0,0,0
CONTIG40666,0,0,5,5,0,0
CONTIG40667,0,0,0,0,0,0
CONTIG40668,0,0,0,0,0,0
CONTIG40669,0,0,10,10,0,0
CONTIG40670,1,1,1,1,0,0
CONTIG40671,0,0,0,0,0,0
CONTIG40672,1,1,1,1,2,2
CONTIG40673,0,0,0,0,0,0
CONTIG40674,0,0,1,1,0,0
CONTIG40675,0,0,0,0,0,0
CONTIG40676,0,0,0,0,0,0
CONTIG40677,0,0,0,0,0,0
CONTIG40678,0,0,0,0,0,0
CONTIG40679,0,0,0,0,0,0
CONTIG40680,0,0,0,0,0,0
CONTIG40681,1,1,3,3,4,4
CONTIG40682,0,0,0,0,2,2
CONTIG40683,1,1,0,0,0,0
CONTIG40684,4,4,4,4,2,2
CONTIG40685,0,0,0,0,1,1
CONTIG40686,3,3,0,0,1,1
CONTIG40687,0,0,0,0,0,0
CONTIG40688,0,0,0,0,0,0
CONTIG40689,0,0,0,0,0,0
CONTIG40690,1,1,0,0,1,1
CONTIG40691,0,0,1,1,0,0
CONTIG40692,0,0,0,0,1,1
CONTIG40693,0,0,1,1,2,2
CONTIG40694,0,0,0,0,0,0
CONTIG40695,0,0,0,0,0,0
CONTIG40696,1,1,2,2,0,0
CONTIG40697,1,1,0,0,1,1
CONTIG40698,0,0,1,1,0,0
CONTIG40699,1,1,3,3,0,0
CONTIG40700,0,0,0,0,0,0
CONTIG40701,0,0,1,1,0,0
CONTIG40702,0,0,2,2,1,1
CONTIG40703,0,0,0,0,0,0
CONTIG40704,0,0,0,0,0,0
CONTIG40705,0,0,0,0,0,0
CONTIG40706,0,0,0,0,0,0
CONTIG40707,0,0,0,0,0,0
CONTIG40708,0,0,1,1,0,0
CONTIG40709,0,0,0,0,1,1
CONTIG40710,0,0,9,9,0,0
CONTIG40711,0,0,0,0,0,0
CONTIG40712,0,0,3,3,6,6
CONTIG40713,1,1,0,0,1,1
CONTIG40714,1,1,0,0,0,0
CONTIG40715,0,0,0,0,0,0
CONTIG40716,0,0,0,0,0,0
CONTIG40717,1,1,0,0,0,0
CONTIG40718,0,0,0,0,0,0
CONTIG40719,0,0,0,0,1,1
CONTIG40720,0,0,0,0,0,0
CONTIG40721,0,0,1,1,0,0
CONTIG40722,2,2,0,0,0,0
CONTIG40723,0,0,2,2,0,0
CONTIG40724,0,0,0,0,0,0
CONTIG40725,0,0,1,1,0,0
CONTIG40726,0,0,0,0,1,1
CONTIG40727,0,0,0,0,0,0
CONTIG40728,0,0,0,0,0,0
CONTIG40729,1,1,2,2,6,6
CONTIG40730,5,5,2,2,7,7
CONTIG40731,0,0,0,0,0,0
CONTIG40732,1,1,0,0,3,3
CONTIG40733,0,0,1,1,0,0
CONTIG40734,0,0,0,0,0,0
CONTIG40735,0,0,0,0,1,1
CONTIG40736,0,0,0,0,0,0
CONTIG40737,0,0,0,0,0,0
CONTIG40738,1,1,4,4,1,1
CONTIG40739,0,0,0,0,0,0
CONTIG40740,1,1,0,0,1,1
CONTIG40741,0,0,0,0,0,0
CONTIG40742,0,0,0,0,0,0
CONTIG40743,0,0,0,0,0,0
CONTIG40744,3,3,1,1,4,4
CONTIG40745,0,0,1,1,2,2
CONTIG40746,0,0,0,0,0,0
CONTIG40747,0,0,0,0,0,0
CONTIG40748,0,0,2,2,0,0
CONTIG40749,0,0,0,0,3,3
CONTIG40750,1,1,1,1,0,0
CONTIG40751,1,1,1,1,1,1
CONTIG40752,0,0,0,0,0,0
CONTIG40753,0,0,0,0,1,1
CONTIG40754,0,0,2,2,0,0
CONTIG40755,1,1,2,2,0,0
CONTIG40756,1,1,0,0,0,0
CONTIG40757,2,2,0,0,0,0
CONTIG40758,0,0,0,0,0,0
CONTIG40759,0,0,0,0,0,0
CONTIG40760,0,0,1,1,0,0
CONTIG40761,3,5,3,3,1,1
CONTIG40762,0,0,0,0,0,0
CONTIG40763,3,3,4,4,1,1
CONTIG40764,0,0,0,0,0,0
CONTIG40765,1,1,1,1,0,0
CONTIG40766,1,1,2,2,0,0
CONTIG40767,0,0,1,1,0,0
CONTIG40768,0,0,1,1,0,0
CONTIG40769,0,0,5,5,0,0
CONTIG40770,0,0,2,2,0,0
CONTIG40771,0,0,0,0,0,0
CONTIG40772,0,0,15,15,0,0
CONTIG40773,0,0,0,0,2,2
CONTIG40774,0,0,0,0,0,0
CONTIG40775,0,0,0,0,0,0
CONTIG40776,0,0,0,0,0,0
CONTIG40777,1,1,0,0,0,0
CONTIG40778,0,0,8,8,0,0
CONTIG40779,0,0,1,1,0,0
CONTIG40780,0,0,0,0,0,0
