,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
gene:MTR_1g028310,"738,0039124092","1,1480697431","0,1865581813","6,1539501252","7,56E-10","3,54E-09"
gene:MTR_1g028320,"1132,4521267738","-2,6273610591","0,2487844762","-10,5607918115","4,53E-26","6,31E-25"
gene:MTR_1g028330,"4285,0207140246","-3,3208140238","0,2935745164","-11,3116562867","1,15E-29","1,95E-28"
gene:MTR_1g028360,"114,0601375862","-4,1263733203","0,5233430483","-7,8846434168","3,15E-15","2,25E-14"
gene:MTR_1g028370,"1699,6676116535","1,8705568216","0,1774456971","10,5415732936","5,56E-26","7,70E-25"
gene:MTR_1g028390,"2086,533251211","1,9058122258","0,1540222339","12,3736176103","3,63E-35","7,92E-34"
gene:MTR_1g028440,"557,9445664883","0,8362540356","0,1595909585","5,2399837904","1,61E-07","6,08E-07"
gene:MTR_1g028560,"81,3914899268","-3,0650582253","0,3736593134","-8,2028150117","2,35E-16","1,81E-15"
gene:MTR_1g028580,"1029,6435948085","-0,9796730344","0,1576970329","-6,2123745528","5,22E-10","2,48E-09"
gene:MTR_1g028610,"561,0038204396","-7,1654140911","0,4781059035","-14,9870855768","8,92E-51","3,32E-49"
gene:MTR_1g028620,"91,9265033672","1,2358905986","0,3489843167","3,5413929497","0,0003980203","0,0009941608"
gene:MTR_1g028630,"26,4586912722","1,1340923269","0,4001913437","2,8338752065","0,0045987287","0,0096675922"
gene:MTR_1g028700,"30,8631385495","-3,9798407909","0,9078038841","-4,3840314639","1,17E-05","3,58E-05"
gene:MTR_1g028710,"21,2569835961","-4,9512105031","0,9833278409","-5,0351574493","4,77E-07","1,72E-06"
gene:MTR_1g028720,"444,18155498","-3,0553114012","0,3957308797","-7,7206797789","1,16E-14","7,95E-14"
gene:MTR_1g028960,"327,2238393102","-3,7810657871","0,3088103217","-12,2439747672","1,81E-34","3,83E-33"
gene:MTR_1g028970,"623,61407321","-3,2152313068","0,2617302558","-12,2845228468","1,10E-34","2,34E-33"
gene:MTR_1g028980,"4167,3436367584","11,8265267263","0,5561149439","21,2663350537","2,33E-100","2,32E-98"
gene:MTR_1g029140,"62,4338867249","-3,2979675828","0,4363820094","-7,5575241681","4,11E-14","2,71E-13"
gene:MTR_1g029150,"570,9511088608","2,3744508417","0,5366589144","4,4245064754","9,67E-06","3,00E-05"
gene:MTR_1g029190,"31,937519995","-1,907152509","0,4567971368","-4,1750535532","2,98E-05","8,68E-05"
