Geneid,nodule_al_uniq,root_al_uniq,nodule_almult,root_almult
gene:PHAVU_001G027000g,5,3,5,3
gene:PHAVU_001G027100g,19,65,25,71
gene:PHAVU_001G027200g,100,114,102,114
gene:ENSRNA049761537,0,0,7,3
gene:PHAVU_001G027300g,503,618,505,618
gene:PHAVU_001G027400g,547,448,547,448
gene:PHAVU_001G027500g,23,24,25,36
gene:PHAVU_001G027600g,754,499,765,505
gene:PHAVU_001G027700g,32,74,32,74
gene:PHAVU_001G027800g,1436,676,1490,713
gene:PHAVU_001G027900g,77,9,127,40
gene:PHAVU_001G028000g,410,372,414,373
gene:PHAVU_001G028100g,18,130,18,131
gene:PHAVU_001G028200g,195,949,195,954
gene:PHAVU_001G028300g,766,586,766,586
gene:PHAVU_001G028400g,0,1,0,1
gene:PHAVU_001G028500g,0,1,0,1
gene:PHAVU_001G028600g,2851,97,2854,97
gene:PHAVU_001G028700g,533,2,573,10
gene:PHAVU_001G028800g,533,19,533,19
gene:PHAVU_001G028900g,658,639,659,643
gene:PHAVU_001G029000g,463,276,463,277
gene:PHAVU_001G029100g,4569,26303,4741,27208
gene:PHAVU_001G029200g,14,23,14,23
gene:PHAVU_001G029300g,143,72,160,80
gene:PHAVU_001G029400g,845,211,1075,245
gene:PHAVU_001G029500g,9,6,9,6
gene:PHAVU_001G029600g,39,295,39,303
gene:PHAVU_001G029700g,2,8,2,8
gene:PHAVU_001G029800g,2285,1970,2301,1982
gene:PHAVU_001G029900g,2,1,2,1
gene:PHAVU_001G030000g,1387,2034,1395,2054
gene:PHAVU_001G030100g,2,6,2,6
gene:PHAVU_001G030200g,569,526,570,529
gene:PHAVU_001G030300g,805,750,1532,1471
gene:PHAVU_001G030400g,1,1,1,2
gene:PHAVU_001G030500g,2,1,3,2
gene:PHAVU_001G030600g,39,26,159,114
gene:PHAVU_001G030700g,560,332,925,584
gene:PHAVU_001G030800g,96,95,96,95
gene:PHAVU_001G030900g,0,1,0,1
gene:PHAVU_001G031000g,205,1806,211,1855
gene:PHAVU_001G031100g,289,174,291,174
gene:PHAVU_001G031200g,177,37,177,39
gene:PHAVU_001G031300g,378,970,379,976
gene:PHAVU_001G031400g,120,428,293,1017
gene:PHAVU_001G031500g,29,136,29,137
gene:PHAVU_001G031600g,16274,9575,16607,9663
gene:PHAVU_001G031700g,556,316,560,324
gene:PHAVU_001G031800g,324,547,326,550
gene:PHAVU_001G031900g,275,1743,281,1766
gene:PHAVU_001G032000g,223,252,223,252
gene:PHAVU_001G032100g,123,311,132,332
gene:PHAVU_001G032200g,55,40,55,46
gene:PHAVU_001G032300g,216,833,239,955
gene:PHAVU_001G032400g,9,16,29,127
gene:PHAVU_001G032500g,47,35,47,35
gene:PHAVU_001G032600g,62,746,62,751
gene:PHAVU_001G032700g,1510,1594,1846,1883
gene:PHAVU_001G032800g,1131,608,1221,627
gene:PHAVU_001G032900g,1134,923,1140,925
gene:PHAVU_001G033000g,0,0,0,0
gene:PHAVU_001G033100g,388,244,389,245
gene:PHAVU_001G033200g,285,217,285,219
gene:PHAVU_001G033300g,405,257,416,258
gene:PHAVU_001G033400g,3589,6558,3591,6574
gene:PHAVU_001G033500g,4782,987,4831,998
gene:PHAVU_001G0336001g,0,0,0,1
gene:PHAVU_001G0336000g,0,0,1,1
gene:PHAVU_001G033700g,0,0,0,0
gene:PHAVU_001G033800g,4331,304,4346,305
gene:PHAVU_001G033900g,0,0,0,0
gene:PHAVU_001G034000g,50,117,50,120
gene:PHAVU_001G034100g,61,170,63,178
gene:PHAVU_001G034200g,0,1,0,2
gene:PHAVU_001G034300g,0,1,0,1
gene:PHAVU_001G034400g,262,241,262,243
gene:PHAVU_001G034500g,187,197,187,202
gene:PHAVU_001G034600g,0,2,0,2
gene:PHAVU_001G034700g,196,185,196,185
gene:PHAVU_001G034800g,262,334,268,334
gene:PHAVU_001G034900g,5,1,6,1
gene:PHAVU_001G035000g,45,27,45,27
gene:PHAVU_001G035100g,1150,1120,1156,1130
gene:PHAVU_001G035200g,20,38,20,38
gene:PHAVU_001G035300g,438,424,469,445
gene:PHAVU_001G035400g,23,17,43,30
gene:PHAVU_001G035500g,9861,3212,10217,3325
gene:PHAVU_001G035600g,1,3,1,4
gene:PHAVU_001G035700g,0,3,0,3
gene:PHAVU_001G035800g,121,219,121,219
gene:PHAVU_001G035900g,605,996,616,1009
gene:PHAVU_001G036000g,485,329,502,341
gene:PHAVU_001G036100g,246,616,246,623
gene:PHAVU_001G036200g,345,748,345,748
gene:PHAVU_001G036300g,361,337,361,339
gene:PHAVU_001G036400g,1441,1530,1461,1549
gene:PHAVU_001G036500g,2,8,3,8
gene:PHAVU_001G036600g,10,46,46,213
gene:PHAVU_001G036700g,139,1084,177,1268
gene:PHAVU_001G036800g,292,618,300,645
gene:PHAVU_001G036900g,201,207,209,209
gene:PHAVU_001G037000g,1,3,1,3
gene:PHAVU_001G037100g,2,2,2,5
gene:PHAVU_001G037200g,23,142,23,143
gene:PHAVU_001G037300g,0,0,0,0
gene:PHAVU_001G037400g,193,237,197,242
gene:PHAVU_001G037500g,91,369,98,374
gene:PHAVU_001G037600g,54,30,55,30
gene:PHAVU_001G037700g,529,428,529,430
gene:PHAVU_001G037800g,380,155,677,234
gene:PHAVU_001G037900g,1908,8698,1913,8710
gene:PHAVU_001G038000g,80,95,81,99
gene:PHAVU_001G038100g,0,0,0,0
gene:PHAVU_001G038200g,92,105,102,112
gene:PHAVU_001G038300g,0,0,0,0
gene:PHAVU_001G038400g,18,6,21,6
gene:PHAVU_001G038500g,8,19,8,19
gene:PHAVU_001G038600g,10,1,10,1
gene:PHAVU_001G038700g,580,466,585,474
gene:PHAVU_001G038800g,103,374,105,376
gene:PHAVU_001G038900g,265,268,375,355
gene:ENSRNA049761513,0,0,7,7
gene:PHAVU_001G039000g,359,290,359,290
gene:PHAVU_001G039100g,343,387,346,387
gene:PHAVU_001G039200g,32,182,32,182
gene:PHAVU_001G0393001g,0,0,0,0
gene:PHAVU_001G0393000g,0,0,0,0
gene:PHAVU_001G039400g,6,8,11,10
gene:PHAVU_001G039500g,315,134,353,151
gene:PHAVU_001G039600g,543,7,543,7
gene:PHAVU_001G039700g,111,251,112,253
gene:PHAVU_001G039800g,19,170,19,171
gene:PHAVU_001G039900g,14,2,14,2
gene:PHAVU_001G040000g,27,61,55,100
gene:PHAVU_001G040100g,9,34,14,74
gene:PHAVU_001G040200g,215,608,216,608
gene:PHAVU_001G040300g,17,18,56,66
gene:PHAVU_001G040400g,2,9,7,49
gene:PHAVU_001G040500g,3,3,37,48
gene:PHAVU_001G040600g,0,0,0,0
gene:PHAVU_001G040700g,11,0,20,1
gene:PHAVU_001G040800g,2,19,2,19
gene:PHAVU_001G040900g,974,1355,974,1361
gene:PHAVU_001G041000g,168,669,168,670
gene:PHAVU_001G041100g,138,171,140,171
gene:PHAVU_001G041200g,233,30,237,32
gene:PHAVU_001G041300g,570,173,578,173
gene:PHAVU_001G041400g,47,239,47,239
gene:PHAVU_001G041500g,0,1,0,1
gene:PHAVU_001G041600g,514,2472,659,2788
gene:PHAVU_001G041700g,115,248,115,253
gene:PHAVU_001G041800g,316,274,316,274
gene:PHAVU_001G041900g,276,459,277,466
gene:PHAVU_001G042000g,71,98,73,100
gene:PHAVU_001G042100g,70,80,71,80
gene:PHAVU_001G042200g,77,122,78,122
gene:PHAVU_001G042300g,542,585,543,589
gene:PHAVU_001G042400g,1759,1409,1789,1426
gene:PHAVU_001G042500g,0,12,0,12
gene:PHAVU_001G042600g,1132,3287,1139,3296
gene:PHAVU_001G042700g,29,74,31,80
gene:PHAVU_001G042800g,0,0,2,1
gene:PHAVU_001G0429001g,1,0,1,0
gene:PHAVU_001G0429000g,25,13,37,18
gene:PHAVU_001G043000g,4,4,28,17
gene:PHAVU_001G043100g,0,0,0,0
gene:PHAVU_001G043200g,38,346,52,358
gene:PHAVU_001G043300g,411,274,412,275
gene:PHAVU_001G043400g,3073,1784,3108,1809
gene:PHAVU_001G043500g,162,40,162,40
gene:PHAVU_001G043600g,42,385,52,386
gene:PHAVU_001G043700g,333,426,352,449
gene:PHAVU_001G043800g,339,88,345,88
gene:PHAVU_001G043900g,771,595,771,595
gene:PHAVU_001G044000g,945,926,946,926
gene:PHAVU_001G044100g,109,28,111,28
gene:PHAVU_001G044200g,0,0,4,1
gene:PHAVU_001G044300g,0,0,4,1
gene:PHAVU_001G044400g,0,0,4,1
gene:PHAVU_001G044500g,26,40,26,41
gene:PHAVU_001G044600g,4332,3134,4350,3153
gene:PHAVU_001G044700g,217,548,217,551
gene:PHAVU_001G044800g,447,568,480,660
gene:PHAVU_001G044900g,35,96,35,96
gene:PHAVU_001G045000g,17,149,17,156
gene:PHAVU_001G045100g,8,46,8,46
gene:PHAVU_001G045200g,461,383,461,384
gene:PHAVU_001G045300g,1157,835,1166,840
gene:PHAVU_001G045400g,503,2393,505,2398
gene:PHAVU_001G045500g,1159,363,1166,363
gene:PHAVU_001G045600g,283,275,284,277
gene:PHAVU_001G045700g,9,109,9,109
gene:PHAVU_001G045800g,0,0,0,0
gene:PHAVU_001G045900g,201,784,202,786
gene:PHAVU_001G046000g,0,0,3,3
gene:PHAVU_001G046100g,0,0,1,1
gene:PHAVU_001G046200g,7,72,7,72
gene:PHAVU_001G046300g,78,58,93,63
gene:PHAVU_001G046400g,381,1202,382,1206
gene:PHAVU_001G046500g,83,263,83,263
gene:PHAVU_001G046600g,187,154,187,154
