Geneid,nodule_al_uniq,root_al_uniq,nodule_almult,root_almult
gene:PHAVU_003G292700g,153,664,153,664
gene:PHAVU_003G292800g,410,418,418,426
gene:PHAVU_003G292900g,120,1239,129,1305
gene:PHAVU_003G293000g,0,21,0,21
gene:PHAVU_003G293100g,30,33,30,34
gene:PHAVU_003G293200g,385,9,405,14
gene:PHAVU_003G293300g,37,21,37,21
gene:PHAVU_003G293400g,657,176,656,176
gene:PHAVU_003G293500g,70,369,79,376
gene:PHAVU_003G293600g,0,3,8,37
gene:PHAVU_003G293700g,56,24,57,24
gene:PHAVU_003G293800g,320,712,332,721
gene:PHAVU_003G293900g,25,24,25,24
gene:PHAVU_003G294000g,814,45,815,45
gene:PHAVU_003G294100g,54,103,54,103
gene:PHAVU_003G294200g,1153,511,1158,512
gene:PHAVU_003G294300g,759,362,767,367
gene:PHAVU_003G294400g,87,140,87,140
gene:PHAVU_003G294500g,4,9,5,14
gene:PHAVU_003G294600g,52,18,174,135
gene:PHAVU_003G294700g,57,33,125,99
gene:PHAVU_003G294800g,9530,9468,9747,9710
gene:PHAVU_003G294900g,125,117,125,117
gene:PHAVU_003G295000g,495,1487,496,1500
gene:PHAVU_003G295100g,65,15,83,17
gene:PHAVU_003G295200g,671,76,691,78
gene:PHAVU_003G295300g,3867,471,3884,479
gene:PHAVU_003G295400g,67,40,77,58
gene:PHAVU_003G295500g,1160,428,1165,428
gene:ENSRNA049761443,0,0,0,0
gene:PHAVU_003G295600g,1653,1562,1675,1583
gene:PHAVU_003G295700g,86,49,184,108
gene:PHAVU_003G295800g,673,921,681,926
gene:PHAVU_003G295900g,270,868,273,872
gene:PHAVU_003G296000g,363,533,379,541
gene:PHAVU_003G296100g,4,28,5,33
gene:PHAVU_003G296200g,110,62,112,62
gene:PHAVU_003G296300g,869,848,872,850
gene:PHAVU_003G296400g,935,679,937,700
gene:PHAVU_003G296500g,6936,953,7000,961
gene:PHAVU_003G296600g,4,8,5,13
gene:PHAVU_003G296700g,802,1028,807,1032
gene:PHAVU_003G296800g,318,333,318,334
gene:PHAVU_003G296900g,147,141,147,141
gene:PHAVU_003G297000g,7,35,8,37
gene:PHAVU_003G297100g,2644,5394,2652,5406
gene:PHAVU_003G297200g,1186,770,1337,867
gene:PHAVU_003G297300g,0,0,0,0
gene:PHAVU_004G000100g,1678,1384,2254,2063
gene:PHAVU_004G000200g,891,674,916,685
gene:PHAVU_004G000300g,41,68,42,71
gene:PHAVU_004G000400g,547,502,547,502
gene:PHAVU_004G000500g,958,1478,959,1483
gene:PHAVU_004G000600g,246,482,254,483
gene:PHAVU_004G000700g,320,146,320,147
gene:PHAVU_004G000800g,3920,15933,3931,15964
gene:PHAVU_004G000900g,736,1315,748,1325
gene:PHAVU_004G001000g,147,852,164,908
gene:PHAVU_004G001100g,13,4,14,5
gene:PHAVU_004G001200g,173,191,182,200
gene:PHAVU_004G001300g,51,117,54,119
gene:PHAVU_004G001400g,251,376,251,377
gene:PHAVU_004G001500g,446,317,448,317
gene:PHAVU_004G001600g,328,925,328,925
gene:PHAVU_004G001700g,814,1671,821,1675
gene:PHAVU_004G001800g,0,0,3,1
gene:PHAVU_004G001900g,1,18,1,19
gene:PHAVU_004G002000g,25,38,25,38
gene:PHAVU_004G002100g,28,76,28,76
gene:PHAVU_004G002200g,0,1,0,1
gene:PHAVU_004G002300g,15,21,19,20
gene:PHAVU_004G002400g,11,0,11,0
gene:PHAVU_004G002500g,0,0,0,0
gene:PHAVU_004G002600g,707,5,879,8
gene:PHAVU_004G002700g,720,46,894,48
gene:PHAVU_004G002800g,182,1668,188,1732
gene:PHAVU_004G002900g,0,0,0,0
gene:PHAVU_004G003000g,0,0,0,0
gene:PHAVU_004G003100g,0,1,0,1
gene:PHAVU_004G003200g,0,0,0,0
gene:PHAVU_004G003300g,0,0,0,0
gene:PHAVU_004G003400g,0,0,0,0
gene:PHAVU_004G003500g,0,0,0,0
gene:PHAVU_004G003600g,0,0,0,0
gene:PHAVU_004G003700g,0,0,0,0
gene:PHAVU_004G003800g,0,0,0,0
gene:PHAVU_004G003900g,0,0,0,0
gene:PHAVU_004G004000g,0,0,0,0
gene:PHAVU_004G004100g,155,225,155,227
gene:PHAVU_004G004200g,0,0,0,0
gene:PHAVU_004G004300g,0,0,0,0
gene:PHAVU_004G004400g,0,0,0,0
gene:PHAVU_004G004500g,0,0,0,0
gene:PHAVU_004G004600g,85,130,86,131
gene:PHAVU_004G004700g,1004,2356,1006,2360
gene:PHAVU_004G004800g,156,598,166,612
gene:PHAVU_004G004900g,4,6,4,6
gene:PHAVU_004G005000g,371,335,371,338
gene:PHAVU_004G005100g,5730,55,5763,55
gene:PHAVU_004G005200g,1494,1336,1509,1346
gene:PHAVU_004G005300g,6530,96,6576,96
gene:PHAVU_004G005400g,0,0,3,0
gene:PHAVU_004G005500g,0,0,2,4
gene:PHAVU_004G0056001g,13,15,152,205
gene:PHAVU_004G005700g,0,0,1,0
gene:PHAVU_004G005800g,23,1,41,1
gene:PHAVU_004G005900g,0,0,4,0
gene:PHAVU_004G006000g,0,0,9,0
gene:PHAVU_004G006100g,0,0,12,0
gene:PHAVU_004G006200g,0,1,0,1
gene:PHAVU_004G006300g,8,33,9,37
gene:PHAVU_004G006400g,4,24,4,24
gene:PHAVU_004G006500g,4108,4334,4134,4356
gene:PHAVU_004G006600g,226,361,226,362
gene:PHAVU_004G006700g,1652,1579,1673,1594
gene:PHAVU_004G006800g,888,861,892,864
gene:PHAVU_004G006900g,485,621,489,635
gene:PHAVU_004G007000g,383,270,386,270
gene:PHAVU_004G007100g,28,133,31,134
gene:PHAVU_004G007200g,0,0,0,0
gene:PHAVU_004G007300g,1,0,1,0
gene:PHAVU_004G007400g,0,0,0,0
gene:PHAVU_004G007500g,1656,1694,1688,1716
gene:PHAVU_004G007600g,505,471,507,475
gene:PHAVU_004G0077001g,7,11,79,93
gene:PHAVU_004G0077000g,0,0,21,47
gene:PHAVU_004G0078001g,0,0,14,5
gene:PHAVU_004G0078002g,0,0,18,8
gene:PHAVU_004G0078000g,0,0,9,6
gene:PHAVU_004G007900g,5,4,145,175
gene:PHAVU_004G008000g,2,3,59,120
gene:PHAVU_004G008100g,5,5,140,169
gene:PHAVU_004G008200g,0,2,21,42
gene:PHAVU_004G0083000g,6,7,122,141
gene:PHAVU_004G008400g,0,0,28,54
gene:PHAVU_004G008500g,23,1,74,13
gene:PHAVU_004G0086001g,39,22,83,48
gene:PHAVU_004G0086000g,0,0,6,1
gene:PHAVU_004G0087001g,9,7,78,75
gene:PHAVU_004G0087002g,0,0,12,7
gene:PHAVU_004G0087000g,0,0,29,75
gene:PHAVU_004G0088001g,6,18,58,82
gene:PHAVU_004G0088000g,0,0,40,66
gene:PHAVU_004G008900g,2,8,88,135
gene:PHAVU_004G009000g,22,13,110,40
gene:PHAVU_004G009100g,0,0,20,20
gene:PHAVU_004G0092001g,104,28,232,81
gene:PHAVU_004G0092002g,76,28,375,119
gene:PHAVU_004G0092003g,30,14,98,52
gene:PHAVU_004G0092000g,18,11,124,57
gene:PHAVU_004G009300g,13,7,151,188
gene:PHAVU_004G009400g,0,0,7,20
gene:PHAVU_004G009500g,2,0,55,69
gene:PHAVU_004G009600g,0,0,30,7
gene:PHAVU_004G0097001g,0,0,44,18
gene:PHAVU_004G0097002g,19,7,108,45
gene:PHAVU_004G0097003g,1,0,181,55
gene:PHAVU_004G0097004g,2,0,79,26
gene:PHAVU_004G0097000g,4,0,33,17
gene:PHAVU_004G0098001g,0,0,1,0
gene:PHAVU_004G0098000g,3,6,91,130
gene:PHAVU_004G0099001g,23,2,66,16
gene:PHAVU_004G0099002g,86,16,431,102
gene:PHAVU_004G0099000g,63,21,140,51
gene:PHAVU_004G0100001g,1,0,115,34
gene:PHAVU_004G0100002g,0,0,60,34
gene:PHAVU_004G0100003g,11,3,45,17
gene:PHAVU_004G0100000g,36,23,130,66
gene:PHAVU_004G010100g,3,0,3,0
gene:PHAVU_004G010200g,0,0,0,0
gene:PHAVU_004G010300g,0,0,0,0
gene:PHAVU_004G010400g,371,524,430,646
gene:PHAVU_004G010500g,4,51,11,81
gene:PHAVU_004G010600g,70,74,174,144
gene:PHAVU_004G010700g,8,45,8,45
gene:PHAVU_004G0108001g,93,81,93,81
gene:PHAVU_004G010900g,57,26,58,28
gene:PHAVU_004G011000g,255,23,256,23
gene:PHAVU_004G011100g,136,178,136,182
gene:PHAVU_004G011200g,590,520,596,524
gene:PHAVU_004G0113001g,183,726,186,750
gene:PHAVU_004G0113000g,65,206,68,223
gene:PHAVU_004G011400g,0,0,0,0
gene:PHAVU_004G011500g,920,566,930,573
gene:PHAVU_004G011600g,5690,4459,5726,4510
gene:PHAVU_004G011700g,890,612,891,612
gene:PHAVU_004G011800g,80,345,80,349
gene:PHAVU_004G011900g,24428,6255,24634,6302
gene:PHAVU_004G012000g,3,5,11,5
gene:PHAVU_004G012100g,692,467,710,471
gene:PHAVU_004G012200g,2338,1719,2371,1763
gene:PHAVU_004G012300g,43,113,45,114
gene:PHAVU_004G012400g,1469,1055,1557,1135
gene:PHAVU_004G012500g,668,1362,696,1424
gene:PHAVU_004G012600g,2372,2202,2401,2211
gene:PHAVU_004G0127001g,161,54,221,66
gene:PHAVU_004G0127000g,13,3,95,39
gene:PHAVU_004G012800g,11,11,105,120
gene:PHAVU_004G012900g,53,34,158,164
gene:PHAVU_004G013000g,91,94,192,225
gene:PHAVU_004G013100g,12,15,79,131
gene:PHAVU_004G013200g,8,10,122,131
gene:PHAVU_004G013300g,5,6,79,103
gene:PHAVU_004G013400g,150,630,150,632
gene:PHAVU_004G013500g,3,8,3,8
gene:PHAVU_004G013600g,555,310,559,315
gene:PHAVU_004G013700g,135,52,136,52
gene:PHAVU_004G013800g,18,15,18,15
gene:PHAVU_004G013900g,152,13,156,13
gene:PHAVU_004G014000g,124,1070,124,1071
gene:PHAVU_004G014100g,30,121,30,121
gene:PHAVU_004G014200g,34,70,34,70
gene:PHAVU_004G014300g,288,19,323,36
gene:PHAVU_004G0144001g,5878,6,5941,6
gene:PHAVU_004G0144000g,17679,10,17693,10
gene:PHAVU_004G014500g,581,291,606,305
gene:PHAVU_004G0146001g,39,160,115,613
gene:PHAVU_004G0146000g,42,296,114,923
gene:PHAVU_004G0147001g,6,18,40,373
gene:PHAVU_004G0147000g,55,328,163,1013
gene:PHAVU_004G014800g,738,1708,761,1761
gene:PHAVU_004G014900g,0,0,0,0
gene:PHAVU_004G015000g,0,0,0,0
gene:PHAVU_004G0151001g,0,0,0,0
gene:PHAVU_004G0151000g,0,0,0,0
gene:PHAVU_004G015200g,0,0,0,0
gene:PHAVU_004G0153001g,0,0,0,0
gene:PHAVU_004G0153000g,7,3,7,3
gene:PHAVU_004G015400g,0,0,0,0
gene:PHAVU_004G015500g,0,0,0,0
gene:PHAVU_004G015600g,16,113,55,211
gene:PHAVU_004G015700g,4,9,40,67
gene:PHAVU_004G015800g,33,31,159,176
gene:PHAVU_004G015900g,0,0,4,4
gene:PHAVU_004G016000g,19,13,52,56
gene:PHAVU_004G016100g,0,0,0,0
gene:PHAVU_004G0162001g,0,0,0,0
gene:PHAVU_004G0162000g,0,0,0,0
gene:PHAVU_004G016300g,0,0,0,0
gene:PHAVU_004G0164001g,0,0,0,0
gene:PHAVU_004G0164000g,0,0,0,0
gene:PHAVU_004G016500g,17,9,87,112
gene:PHAVU_004G0166001g,0,0,0,0
gene:PHAVU_004G0166000g,0,0,0,0
gene:PHAVU_004G016700g,19,30,20,33
gene:PHAVU_004G016800g,275,1072,276,1072
gene:PHAVU_004G016900g,745,297,745,303
gene:PHAVU_004G017000g,16,24,16,24
gene:PHAVU_004G017100g,0,0,0,0
gene:PHAVU_004G017200g,0,0,0,0
gene:PHAVU_004G017300g,0,0,0,0
gene:PHAVU_004G017400g,3,1,3,1
gene:PHAVU_004G017500g,1701,2887,1704,2893
gene:PHAVU_004G017600g,560,616,565,616
gene:PHAVU_004G017700g,11,38,11,38
gene:PHAVU_004G017800g,301,298,301,297
gene:PHAVU_004G017900g,111,53,111,53
gene:PHAVU_004G018000g,8,18,10,18
gene:PHAVU_004G018100g,264,398,270,411
gene:PHAVU_004G018200g,22,155,22,156
gene:PHAVU_004G018300g,177,51,177,51
gene:PHAVU_004G018400g,98,143,101,147
gene:PHAVU_004G018500g,2,3,2,3
gene:PHAVU_004G018600g,291,70,294,70
gene:PHAVU_004G018700g,740,116,745,116
gene:PHAVU_004G018800g,1,0,1,0
gene:PHAVU_004G018900g,964,6840,1050,7219
gene:PHAVU_004G019000g,2,11,87,359
gene:PHAVU_004G019100g,838,294,1433,573
gene:PHAVU_004G019200g,236,147,833,426
gene:PHAVU_004G019300g,9,12,9,12
gene:PHAVU_004G019400g,5126,3549,5132,3555
gene:PHAVU_004G019500g,190,132,192,133
gene:PHAVU_004G019600g,1691,2265,1694,2273
gene:PHAVU_004G019700g,845,33,847,33
gene:PHAVU_004G019800g,379,158,383,160
gene:PHAVU_004G019900g,523,4642,524,4667
gene:PHAVU_004G020000g,2876,6222,2887,6242
gene:PHAVU_004G020100g,638,1309,642,1310
gene:PHAVU_004G020200g,495,370,495,370
gene:PHAVU_004G020300g,209,500,211,503
gene:PHAVU_004G020400g,82,88,84,91
gene:PHAVU_004G020500g,198,159,202,162
gene:PHAVU_004G020600g,2,1,2,1
gene:PHAVU_004G020700g,15,88,19,89
gene:PHAVU_004G020800g,228,160,233,161
gene:PHAVU_004G020900g,215,197,225,218
gene:PHAVU_004G021000g,2,0,2,0
gene:PHAVU_004G021100g,0,1,0,1
gene:PHAVU_004G021200g,205,1807,208,1856
gene:PHAVU_004G021300g,0,0,9,30
gene:PHAVU_004G021400g,39,143,48,176
gene:PHAVU_004G021500g,4,1,12,13
gene:PHAVU_004G021600g,0,0,6,6
gene:PHAVU_004G021700g,0,0,1,1
gene:PHAVU_004G021800g,0,1,3,4
gene:PHAVU_004G021900g,0,0,5,3
gene:PHAVU_004G022000g,2,0,14,17
gene:PHAVU_004G022100g,528,475,531,476
gene:PHAVU_004G022200g,0,1,1,1
gene:PHAVU_004G022300g,1205,89,1207,91
gene:PHAVU_004G022400g,337,253,337,253
gene:PHAVU_004G022500g,1070,609,1074,613
gene:PHAVU_004G022600g,961,1042,966,1042
gene:PHAVU_004G022700g,582,438,582,438
gene:PHAVU_004G022800g,25,51,40,68
gene:PHAVU_004G022900g,2507,1842,2521,1852
gene:PHAVU_004G023000g,3,10,3,10
gene:PHAVU_004G023100g,1690,15596,1702,15659
gene:PHAVU_004G023200g,0,9,0,9
gene:PHAVU_004G023300g,7,6,7,6
gene:PHAVU_004G023400g,32,43,32,43
gene:PHAVU_004G023500g,674,1595,678,1610
gene:PHAVU_004G023600g,7,23,7,25
gene:PHAVU_004G023700g,1570,3478,1577,3484
gene:PHAVU_004G023800g,2,16,5,16
gene:PHAVU_004G023900g,118,95,119,95
gene:PHAVU_004G024000g,565,1084,603,1093
gene:PHAVU_004G024100g,0,1,0,25
gene:PHAVU_004G024200g,1,0,1,0
gene:PHAVU_004G024300g,894,4043,896,4066
gene:PHAVU_004G024400g,44,98,68,158
gene:PHAVU_004G024500g,3,6,39,10
gene:PHAVU_004G024600g,26,254,26,254
gene:PHAVU_004G024700g,235,208,238,217
gene:PHAVU_004G024800g,139,68,141,68
gene:PHAVU_004G024900g,1280,4500,1289,4542
gene:PHAVU_004G025000g,282,201,282,201
gene:PHAVU_004G025100g,523,457,524,461
gene:PHAVU_004G025200g,8,3,8,3
gene:PHAVU_004G025300g,0,0,0,0
gene:PHAVU_004G025400g,0,8,0,8
gene:PHAVU_004G025500g,62,51,62,53
gene:PHAVU_004G025600g,200,154,216,157
gene:PHAVU_004G025700g,5550,859,5612,870
gene:PHAVU_004G025800g,1265,693,1267,695
gene:PHAVU_004G025900g,13,7,13,7
gene:PHAVU_004G026000g,230,282,239,290
gene:PHAVU_004G026100g,13714,3673,13754,3680
gene:PHAVU_004G026200g,1162,842,1307,941
gene:PHAVU_004G026300g,83,93,301,231
gene:PHAVU_004G026400g,0,1,0,1
gene:PHAVU_004G026500g,8,12,8,12
gene:PHAVU_004G026600g,1442,933,1445,937
gene:PHAVU_004G026700g,375,218,402,234
gene:PHAVU_004G026800g,0,5,6,22
gene:PHAVU_004G026900g,37574,4953,37714,4982
gene:PHAVU_004G027000g,136,1037,141,1039
gene:PHAVU_004G027100g,44,28,44,28
gene:PHAVU_004G027200g,0,0,0,0
gene:PHAVU_004G027300g,0,0,0,0
gene:PHAVU_004G0274001g,0,0,0,0
gene:PHAVU_004G0274000g,2,17,2,17
gene:PHAVU_004G027500g,37,315,37,316
gene:PHAVU_004G027600g,669,2190,678,2218
gene:PHAVU_004G027700g,2,54,3,54
gene:PHAVU_004G027800g,376,2489,385,2552
gene:PHAVU_004G027900g,2428,1316,2434,1318
gene:PHAVU_004G028000g,251,128,251,128
gene:PHAVU_004G028100g,190,216,190,217
gene:PHAVU_004G028200g,158,45,204,55
gene:PHAVU_004G028300g,150,32,152,32
gene:PHAVU_004G028400g,0,2,0,2
gene:PHAVU_004G028500g,1,6,3,7
gene:PHAVU_004G028600g,58,31,60,31
gene:PHAVU_004G028700g,1,3,1,3
gene:PHAVU_004G028800g,5,100,5,102
gene:PHAVU_004G028900g,1,15,1,19
gene:PHAVU_004G029000g,211,574,211,576
gene:PHAVU_004G029100g,199,32,201,33
gene:PHAVU_004G029200g,110,120,110,120
gene:PHAVU_004G029300g,116,131,117,132
gene:PHAVU_004G029400g,187,242,242,257
gene:PHAVU_004G029500g,9,66,17,66
gene:PHAVU_004G029600g,170,203,171,204
gene:PHAVU_004G029700g,0,0,0,0
gene:PHAVU_004G029800g,0,1,2,2
gene:PHAVU_004G029900g,0,6,0,6
gene:PHAVU_004G030000g,21,242,21,244
gene:PHAVU_004G030100g,2964,3391,2974,3411
gene:PHAVU_004G030200g,9,5,9,5
gene:PHAVU_004G030300g,1,0,1,0
gene:PHAVU_004G030400g,314,4,1265,26
gene:PHAVU_004G030500g,1,3,1,6
gene:PHAVU_004G030600g,0,0,0,0
gene:PHAVU_004G0307001g,0,0,0,0
gene:PHAVU_004G0307000g,0,0,0,0
gene:PHAVU_004G030800g,0,0,0,0
gene:PHAVU_004G030900g,0,0,0,0
gene:PHAVU_004G031000g,0,0,31,4
gene:PHAVU_004G031100g,415,4,1560,30
gene:PHAVU_004G031200g,300,491,302,491
gene:PHAVU_004G031300g,24046,41825,42046,72711
gene:PHAVU_004G031400g,0,2,0,2
gene:ENSRNA049761355,0,0,12,2
gene:PHAVU_004G031500g,91,53,94,53
gene:PHAVU_004G031600g,1734,2005,1759,2026
gene:PHAVU_004G031700g,258,225,267,225
gene:PHAVU_004G031800g,1,0,1,0
gene:PHAVU_004G031900g,2,13,2,13
gene:PHAVU_004G032000g,823,367,830,370
gene:PHAVU_004G032100g,13,11,13,11
gene:PHAVU_004G0322001g,2,0,2,0
gene:PHAVU_004G0322000g,2,0,2,0
gene:PHAVU_004G032300g,2,19,2,19
gene:PHAVU_004G032400g,20,14,20,14
gene:PHAVU_004G032500g,3,1,3,1
gene:PHAVU_004G032600g,45,71,45,72
gene:PHAVU_004G032700g,0,3,0,3
gene:PHAVU_004G032800g,568,1360,575,1365
gene:PHAVU_004G032900g,207,995,209,1004
gene:PHAVU_004G033000g,334,154,334,158
gene:PHAVU_004G033100g,1872,1338,1876,1345
gene:PHAVU_004G033200g,268,206,270,206
gene:PHAVU_004G033300g,16,8,25,15
gene:PHAVU_004G033400g,1,6,4,7
gene:PHAVU_004G033500g,9,7,18,14
gene:PHAVU_004G033600g,587,230,600,239
gene:PHAVU_004G033700g,4163,1544,4181,1548
gene:PHAVU_004G033800g,262,171,270,172
gene:PHAVU_004G033900g,172,56,173,57
gene:PHAVU_004G034000g,288,224,294,235
gene:PHAVU_004G034100g,318,330,319,332
gene:PHAVU_004G034200g,346,314,358,327
gene:PHAVU_004G034300g,155,349,162,363
gene:PHAVU_004G034400g,1644,866,1673,893
gene:PHAVU_004G034500g,748,2470,765,2521
gene:PHAVU_004G034600g,45,246,48,247
gene:PHAVU_004G034700g,32,113,48,131
gene:PHAVU_004G034800g,1264,1001,1270,1002
gene:PHAVU_004G034900g,0,2,0,2
gene:PHAVU_004G035000g,295,799,300,820
gene:PHAVU_004G035100g,846,990,853,992
gene:PHAVU_004G035200g,9,47,9,47
gene:PHAVU_004G035300g,181,212,183,212
gene:PHAVU_004G035400g,367,359,373,365
gene:PHAVU_004G035500g,39,14,43,15
gene:PHAVU_004G035600g,8,9,9,12
gene:PHAVU_004G035700g,0,0,5,6
gene:PHAVU_004G035800g,0,1,5,6
gene:PHAVU_004G035900g,1,0,5,3
gene:PHAVU_004G036000g,7,1,17,4
gene:PHAVU_004G036100g,0,2,5,12
gene:PHAVU_004G036200g,2,1,11,13
gene:PHAVU_004G036300g,25,23,47,60
gene:PHAVU_004G036400g,0,0,0,0
gene:PHAVU_004G036500g,0,0,0,0
gene:PHAVU_004G036600g,32,19,148,147
gene:PHAVU_004G036700g,2,1,64,78
gene:PHAVU_004G0368001g,0,0,7,10
gene:PHAVU_004G0368000g,2,4,24,42
gene:PHAVU_004G036900g,16,20,53,81
gene:PHAVU_004G037000g,0,0,4,10
gene:PHAVU_004G037100g,1,8,6,13
gene:PHAVU_004G037200g,5,0,5,0
gene:PHAVU_004G037300g,15,56,15,56
gene:PHAVU_004G037400g,0,0,0,0
gene:PHAVU_004G037500g,366,612,683,1018
gene:PHAVU_004G037600g,490,806,805,1210
gene:PHAVU_004G037700g,2,4,2,4
gene:PHAVU_004G037800g,36,553,36,556
gene:PHAVU_004G037900g,11,1,11,1
gene:PHAVU_004G038000g,1122,3464,1124,3476
gene:PHAVU_004G038100g,272,91,280,95
gene:PHAVU_004G038200g,314,281,343,302
gene:PHAVU_004G038300g,1,0,1,0
gene:PHAVU_004G038400g,64,107,97,168
gene:PHAVU_004G038500g,0,2,23,45
gene:PHAVU_004G038600g,1213,1737,1219,1743
gene:PHAVU_004G038700g,2,14,2,14
gene:PHAVU_004G038800g,530,1571,781,2354
gene:PHAVU_004G038900g,445,304,731,490
gene:PHAVU_004G039000g,2,2,2,3
gene:PHAVU_004G039100g,58,182,58,182
gene:PHAVU_004G039200g,23,1,173,36
gene:PHAVU_004G039300g,10,40,11,41
gene:PHAVU_004G039400g,17,70,69,124
gene:PHAVU_004G039500g,84,20,135,73
gene:PHAVU_004G039600g,128,61,331,630
gene:PHAVU_004G039700g,27,65,144,414
gene:PHAVU_004G039800g,7,14,118,311
gene:PHAVU_004G039900g,15,19,161,348
gene:PHAVU_004G040000g,279,7,450,9
gene:PHAVU_004G040100g,4,10,27,58
gene:PHAVU_004G040200g,39,147,87,280
gene:PHAVU_004G040300g,20,19,149,227
gene:PHAVU_004G040400g,0,0,0,7
gene:PHAVU_004G040500g,0,0,2,7
gene:PHAVU_004G040600g,0,0,0,0
gene:PHAVU_004G040700g,5,15,44,128
gene:PHAVU_004G040800g,0,0,33,0
gene:PHAVU_004G040900g,7,22,127,260
gene:PHAVU_004G041000g,0,0,36,0
gene:PHAVU_004G041100g,487,316,757,492
gene:PHAVU_004G041200g,327,159,328,159
gene:PHAVU_004G041300g,84,114,85,116
gene:PHAVU_004G041400g,11,104,13,107
gene:PHAVU_004G041500g,750,624,759,630
gene:PHAVU_004G041600g,57,488,60,494
gene:PHAVU_004G041700g,82,16,90,17
gene:ENSRNA049761354,0,0,11,0
gene:ENSRNA049761353,0,0,10,1
gene:PHAVU_004G041800g,553,45,561,45
gene:PHAVU_004G041900g,6,1,37,5
gene:PHAVU_004G042000g,0,0,0,0
gene:PHAVU_004G042100g,9,17,40,21
gene:PHAVU_004G042200g,0,0,0,0
gene:PHAVU_004G042300g,0,1,1,1
gene:PHAVU_004G042400g,0,1,0,1
gene:PHAVU_004G042500g,0,4,0,4
gene:PHAVU_004G042600g,2103,200,2112,202
gene:PHAVU_004G042700g,0,1,1,3
gene:PHAVU_004G042800g,5,3,7,3
gene:PHAVU_004G042900g,23,9,69,26
gene:PHAVU_004G043000g,3,0,16,7
gene:PHAVU_004G043100g,1,0,33,8
gene:PHAVU_004G043200g,0,1,36,16
gene:PHAVU_004G043300g,0,1,45,24
gene:PHAVU_004G043400g,0,0,51,26
gene:PHAVU_004G0435001g,0,0,38,9
gene:PHAVU_004G0435000g,0,0,2,3
gene:PHAVU_004G043600g,0,0,50,25
gene:PHAVU_004G043700g,224,183,225,187
gene:PHAVU_004G043800g,102,37,216,82
gene:PHAVU_004G0439001g,0,0,28,172
gene:PHAVU_004G0439002g,31,127,143,767
gene:PHAVU_004G0439000g,0,0,21,133
gene:PHAVU_004G044000g,365,240,1100,707
gene:PHAVU_004G0441001g,8,41,133,724
gene:PHAVU_004G0441000g,7,19,46,285
gene:PHAVU_004G044200g,18,6,106,41
gene:PHAVU_004G0443001g,5,11,86,177
gene:PHAVU_004G0443000g,5,24,59,81
gene:PHAVU_004G044400g,412,699,413,705
gene:PHAVU_004G044500g,220,187,221,187
gene:PHAVU_004G044600g,404,324,407,330
gene:PHAVU_004G044700g,330,382,334,389
gene:PHAVU_004G044800g,4,0,12,2
gene:PHAVU_004G044900g,4,1,12,3
gene:PHAVU_004G045000g,6297,1590,6307,1596
gene:PHAVU_004G045100g,30,69,53,97
gene:PHAVU_004G045200g,898,960,924,986
gene:PHAVU_004G0453001g,0,0,9,13
gene:PHAVU_004G0453000g,2,1,16,14
gene:PHAVU_004G045400g,129,191,131,191
gene:PHAVU_004G045500g,73,57,79,59
gene:PHAVU_004G045600g,2023,1165,2041,1177
gene:PHAVU_004G045700g,0,0,0,0
gene:PHAVU_004G045800g,2224,63,2227,63
gene:PHAVU_004G045900g,2018,1515,2025,1517
gene:PHAVU_004G046000g,13,109,16,109
gene:PHAVU_004G046100g,120,510,143,542
gene:PHAVU_004G046200g,362,3417,362,3423
gene:PHAVU_004G046300g,2,53,2,54
gene:PHAVU_004G046400g,180,1764,180,1767
gene:PHAVU_004G046500g,79,136,98,168
gene:PHAVU_004G046600g,36,5,36,5
gene:PHAVU_004G046700g,2195,2759,2228,2776
gene:PHAVU_004G046800g,129,135,177,135
gene:PHAVU_004G046900g,0,0,0,0
gene:PHAVU_004G047000g,0,0,0,0
gene:PHAVU_004G047100g,0,0,0,0
gene:PHAVU_004G047200g,0,0,0,0
gene:PHAVU_004G047300g,0,0,0,0
gene:PHAVU_004G047400g,313,386,313,388
gene:PHAVU_004G047500g,234,104,235,104
gene:PHAVU_004G047600g,10,6,12,8
gene:PHAVU_004G047700g,0,0,0,0
gene:PHAVU_004G047800g,0,0,0,0
gene:PHAVU_004G047900g,771,1769,792,1815
gene:PHAVU_004G0480000g,3,29,3,29
gene:PHAVU_004G048100g,365,426,368,429
gene:PHAVU_004G048200g,87,63,88,63
gene:PHAVU_004G048300g,108,201,109,201
gene:PHAVU_004G0484001g,167,102,166,102
gene:PHAVU_004G0484000g,239,107,238,108
gene:PHAVU_004G048500g,15,54,15,54
gene:PHAVU_004G048600g,30,16,30,16
gene:PHAVU_004G048700g,0,8,1,11
gene:PHAVU_004G048800g,0,11,0,11
gene:PHAVU_004G0489001g,13,86,13,86
gene:PHAVU_004G0489000g,17,99,19,102
gene:PHAVU_004G049000g,58,961,58,964
gene:PHAVU_004G049100g,644,1070,664,1108
gene:PHAVU_004G049200g,1081,11597,1085,11626
gene:PHAVU_004G049300g,592,894,593,902
gene:PHAVU_004G049400g,37,64,62,71
gene:PHAVU_004G049500g,11,15,16,31
gene:PHAVU_004G049600g,13,23,18,39
gene:PHAVU_004G049700g,2,6,2,6
gene:PHAVU_004G049800g,34,30,34,30
gene:PHAVU_004G049900g,1,1,1,1
