,Groupe,Nombre de gènes (nbG),nbG Lupinus A.,nbG Medicago T.,nbG Phaseolus V.,nbG Glycine M.,Lotus J.,,somme(D:H)
OG0000310,OG0000310,33,2,7,6,11,7,,33
OG0000311,OG0000311,33,1,10,4,10,8,,33
OG0000312,OG0000312,33,1,18,2,10,2,,33
OG0000313,OG0000313,33,2,9,10,7,5,,33
OG0000314,OG0000314,33,0,30,0,2,1,,33
OG0000315,OG0000315,33,1,14,3,14,1,,33
OG0000316,OG0000316,33,1,9,4,13,6,,33
OG0000317,OG0000317,33,0,2,9,18,4,,33
OG0000318,OG0000318,33,1,8,9,12,3,,33
OG0000319,OG0000319,33,6,7,5,11,4,,33
OG0000320,OG0000320,33,1,9,11,2,10,,33
OG0000321,OG0000321,33,2,13,2,3,13,,33
OG0000322,OG0000322,32,1,3,1,5,22,,32
OG0000323,OG0000323,32,0,6,5,14,7,,32
OG0000324,OG0000324,32,2,7,0,14,9,,32
OG0000325,OG0000325,32,2,5,7,8,10,,32
OG0000326,OG0000326,32,6,5,5,10,6,,32
OG0000327,OG0000327,32,6,6,4,11,5,,32
OG0000328,OG0000328,32,6,5,7,8,6,,32
OG0000329,OG0000329,32,4,1,19,1,7,,32
OG0000330,OG0000330,32,0,15,1,4,12,,32
OG0000331,OG0000331,32,2,16,5,5,4,,32
OG0000332,OG0000332,32,3,2,8,13,6,,32
OG0000333,OG0000333,32,3,4,4,15,6,,32
OG0000334,OG0000334,32,3,16,4,7,2,,32
OG0000335,OG0000335,32,3,7,4,7,11,,32
OG0000336,OG0000336,32,1,6,6,11,8,,32
OG0000337,OG0000337,32,0,9,10,8,5,,32
OG0000338,OG0000338,32,0,1,6,23,2,,32
OG0000339,OG0000339,32,1,11,1,8,11,,32
OG0000340,OG0000340,32,4,21,1,3,3,,32
OG0000341,OG0000341,32,0,16,9,1,6,,32
OG0000342,OG0000342,32,2,14,11,5,0,,32
OG0000343,OG0000343,32,2,1,4,22,3,,32
OG0000344,OG0000344,32,3,17,2,6,4,,32
OG0000345,OG0000345,32,1,3,25,0,3,,32
OG0000346,OG0000346,32,0,6,20,0,6,,32
OG0000347,OG0000347,31,6,6,6,5,8,,31
OG0000348,OG0000348,31,2,7,7,9,6,,31
OG0000349,OG0000349,31,4,6,7,10,4,,31
OG0000350,OG0000350,31,0,2,0,4,25,,31
OG0000351,OG0000351,31,2,6,7,9,7,,31
OG0000352,OG0000352,31,1,4,4,15,7,,31
OG0000353,OG0000353,31,0,2,1,23,5,,31
OG0000354,OG0000354,31,0,16,4,5,6,,31
OG0000355,OG0000355,31,2,4,2,21,2,,31
OG0000356,OG0000356,31,1,4,4,18,4,,31
OG0000357,OG0000357,31,7,9,3,7,5,,31
OG0000358,OG0000358,31,5,10,4,8,4,,31
OG0000359,OG0000359,31,2,1,0,1,27,,31
OG0000360,OG0000360,31,1,3,9,13,5,,31
OG0000361,OG0000361,31,4,4,1,18,4,,31
OG0000362,OG0000362,31,0,15,3,6,7,,31
OG0000363,OG0000363,31,1,1,1,27,1,,31
OG0000364,OG0000364,31,2,2,20,4,3,,31
OG0000365,OG0000365,31,4,7,5,10,5,,31
OG0000366,OG0000366,31,5,6,9,6,5,,31
OG0000367,OG0000367,31,5,13,2,9,2,,31
OG0000368,OG0000368,31,2,2,4,19,4,,31
OG0000369,OG0000369,31,1,28,0,2,0,,31
OG0000370,OG0000370,31,0,2,2,27,0,,31
OG0000371,OG0000371,31,3,6,10,8,4,,31
OG0000372,OG0000372,31,3,13,2,1,12,,31
OG0000373,OG0000373,30,0,5,2,10,13,,30
OG0000374,OG0000374,30,1,2,6,19,2,,30
OG0000375,OG0000375,30,6,4,6,7,7,,30
OG0000376,OG0000376,30,0,1,0,25,4,,30
OG0000377,OG0000377,30,1,18,1,8,2,,30
OG0000378,OG0000378,30,0,6,3,19,2,,30
OG0000379,OG0000379,30,1,7,5,9,8,,30
OG0000380,OG0000380,30,2,16,2,3,7,,30
OG0000381,OG0000381,30,2,15,4,7,2,,30
OG0000382,OG0000382,30,0,9,3,15,3,,30
OG0000383,OG0000383,30,4,11,3,6,6,,30
OG0000384,OG0000384,30,1,5,1,21,2,,30
OG0000385,OG0000385,30,1,5,5,14,5,,30
OG0000386,OG0000386,30,3,13,4,6,4,,30
OG0000387,OG0000387,30,3,2,5,17,3,,30
OG0000388,OG0000388,30,3,0,8,11,8,,30
OG0000389,OG0000389,30,3,8,7,11,1,,30
OG0000390,OG0000390,30,0,15,5,7,3,,30
OG0000391,OG0000391,30,1,8,6,14,1,,30
OG0000392,OG0000392,30,3,5,6,10,6,,30
OG0000393,OG0000393,30,1,3,2,23,1,,30
OG0000394,OG0000394,30,0,0,1,29,0,,30
OG0000395,OG0000395,30,3,9,6,8,4,,30
OG0000396,OG0000396,30,0,5,1,24,0,,30
OG0000397,OG0000397,30,0,18,4,4,4,,30
OG0000398,OG0000398,30,0,0,0,17,13,,30
OG0000399,OG0000399,30,0,11,16,0,3,,30
OG0000400,OG0000400,29,1,3,3,20,2,,29
OG0000401,OG0000401,29,3,3,5,12,6,,29
OG0000402,OG0000402,29,5,8,2,11,3,,29
OG0000403,OG0000403,29,3,1,3,20,2,,29
OG0000404,OG0000404,29,1,3,6,13,6,,29
OG0000405,OG0000405,29,3,9,3,7,7,,29
OG0000406,OG0000406,29,1,3,4,18,3,,29
OG0000407,OG0000407,29,4,6,3,9,7,,29
OG0000408,OG0000408,29,2,6,6,11,4,,29
OG0000409,OG0000409,29,4,11,6,6,2,,29
OG0000410,OG0000410,29,5,7,4,9,4,,29
OG0000411,OG0000411,29,2,5,10,9,3,,29
OG0000412,OG0000412,29,2,5,1,19,2,,29
OG0000413,OG0000413,29,3,7,5,8,6,,29
OG0000414,OG0000414,29,3,6,7,12,1,,29
OG0000415,OG0000415,29,1,3,9,8,8,,29
OG0000416,OG0000416,29,2,1,7,16,3,,29
OG0000417,OG0000417,29,2,4,5,12,6,,29
OG0000418,OG0000418,29,1,4,5,13,6,,29
OG0000419,OG0000419,29,0,8,1,19,1,,29
OG0000420,OG0000420,29,4,6,5,8,6,,29
OG0000421,OG0000421,29,2,10,3,10,4,,29
OG0000422,OG0000422,29,2,6,1,12,8,,29
OG0000423,OG0000423,29,1,15,3,9,1,,29
OG0000424,OG0000424,29,0,20,3,5,1,,29
OG0000425,OG0000425,29,2,14,5,4,4,,29
OG0000426,OG0000426,29,2,4,3,16,4,,29
OG0000427,OG0000427,29,3,6,10,6,4,,29
OG0000428,OG0000428,29,4,5,7,5,8,,29
OG0000429,OG0000429,29,2,8,4,8,7,,29
OG0000430,OG0000430,29,1,8,11,4,5,,29
OG0000431,OG0000431,29,0,22,1,2,4,,29
OG0000432,OG0000432,29,0,0,0,29,0,,29
OG0000433,OG0000433,29,3,1,4,17,4,,29
OG0000434,OG0000434,29,4,6,6,6,7,,29
OG0000435,OG0000435,29,0,24,2,0,3,,29
OG0000436,OG0000436,28,1,2,4,16,5,,28
OG0000437,OG0000437,28,2,8,3,12,3,,28
OG0000438,OG0000438,28,2,5,5,10,6,,28
OG0000439,OG0000439,28,4,5,5,8,6,,28
OG0000440,OG0000440,28,3,5,7,9,4,,28
OG0000441,OG0000441,28,3,6,6,8,5,,28
OG0000442,OG0000442,28,1,5,2,14,6,,28
OG0000443,OG0000443,28,0,8,6,11,3,,28
OG0000444,OG0000444,28,3,4,6,11,4,,28
OG0000445,OG0000445,28,3,5,5,10,5,,28
OG0000446,OG0000446,28,1,8,3,7,9,,28
OG0000447,OG0000447,28,3,8,0,7,10,,28
OG0000448,OG0000448,28,4,7,1,2,14,,28
OG0000449,OG0000449,28,2,5,5,10,6,,28
OG0000450,OG0000450,28,5,9,1,2,11,,28
OG0000451,OG0000451,28,2,7,5,9,5,,28
OG0000452,OG0000452,28,0,2,4,20,2,,28
OG0000453,OG0000453,28,2,1,2,21,2,,28
OG0000454,OG0000454,28,1,4,7,10,6,,28
OG0000455,OG0000455,28,3,3,3,15,4,,28
OG0000456,OG0000456,28,1,8,6,5,8,,28
OG0000457,OG0000457,28,0,2,4,21,1,,28
OG0000458,OG0000458,28,1,16,4,6,1,,28
OG0000459,OG0000459,28,8,6,4,7,3,,28
OG0000460,OG0000460,28,1,2,6,17,2,,28
OG0000461,OG0000461,28,2,10,4,10,2,,28
OG0000462,OG0000462,28,1,1,4,20,2,,28
OG0000463,OG0000463,28,5,5,7,7,4,,28
OG0000464,OG0000464,28,0,2,4,18,4,,28
OG0000465,OG0000465,28,1,4,9,8,6,,28
OG0000466,OG0000466,28,2,10,6,7,3,,28
OG0000467,OG0000467,28,4,8,4,7,5,,28
OG0000468,OG0000468,28,0,6,7,14,1,,28
OG0000469,OG0000469,28,3,7,7,5,6,,28
OG0000470,OG0000470,28,1,2,2,19,4,,28
OG0000471,OG0000471,28,2,1,0,1,24,,28
OG0000472,OG0000472,28,0,3,2,17,6,,28
OG0000473,OG0000473,28,1,8,1,13,5,,28
OG0000474,OG0000474,28,2,9,6,8,3,,28
OG0000475,OG0000475,28,0,26,0,1,1,,28
OG0000476,OG0000476,28,0,2,0,0,26,,28
OG0000477,OG0000477,28,1,24,0,0,3,,28
OG0000478,OG0000478,28,0,28,0,0,0,,28
OG0000479,OG0000479,27,2,9,4,10,2,,27
OG0000480,OG0000480,27,4,5,5,9,4,,27
OG0000481,OG0000481,27,0,1,0,21,5,,27
OG0000482,OG0000482,27,2,4,3,12,6,,27
