,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
gene:PHAVU_009G140800g,"1317,5738381548","11,4224199406","2,7152153828","4,2068191028","2,59E-05","0,0092076934"
gene:PHAVU_009G142800g,"2576,5585115308","5,1508674729","1,7955371841","2,8687055432","0,004121553","0,2345047222"
gene:PHAVU_009G152100g,"8549,7282216339","7,3045568055","2,0045678242","3,6439559277","0,0002684794","0,0385304904"
gene:PHAVU_009G170600g,"1504,8877430816","8,8041879297","2,1966248613","4,0080525742","6,12E-05","0,0147336588"
gene:PHAVU_009G174400g,"98,8669761734","6,0806312859","2,1630034854","2,8111980988","0,0049357387","0,2608437831"
gene:PHAVU_009G175600g,"222,3856962061","7,8500035293","2,3186585139","3,3855798437","0,0007102804","0,0716833341"
gene:PHAVU_009G177400g,"3772,8090622495","6,5504225731","1,9385429044","3,3790444143","0,0007273826","0,072181556"
gene:PHAVU_009G178900g,"8152,465415094","8,2663213787","2,0913880259","3,9525526953","7,73E-05","0,0168279496"
gene:PHAVU_009G181500g,"1610,6913816016","6,2343456578","1,9178808673","3,2506428131","0,0011514442","0,0952084588"
gene:PHAVU_009G188800g,"98,9904504901","10,1311625218","3,0605617796","3,3102297067","0,0009321944","0,0847809091"
gene:PHAVU_009G198100g,"22411,4552083361","4,5212998939","1,7173664573","2,6326937241","0,0084710698","0,3818816864"
gene:PHAVU_009G198400g,"1623,0729650875","8,5500728664","2,1621164505","3,9544923053","7,67E-05","0,0168279496"
gene:PHAVU_009G199400g,"1903,6171875219","5,6210812688","1,8500671015","3,0383121045","0,0023790742","0,1551804343"
gene:PHAVU_009G210400g,"31,781144631","8,4920534886","3,1619215103","2,685725582","0,0072372502",NA
gene:PHAVU_009G211600g,"88,9267730188","5,5024086934","2,0847949727","2,6393044714","0,0083076331","0,376684941"
gene:PHAVU_009G226900g,"36568,8122634626","5,1166751336","1,7836649046","2,8686302682","0,004122534","0,2345047222"
gene:PHAVU_009G231800g,"1223,7934113747","11,3158570312","2,7093657237","4,176570528","2,96E-05","0,0097658118"
gene:PHAVU_009G244200g,"1600,7501775483","5,2924991953","1,8166719735","2,913293799","0,0035763795","0,2127197861"
gene:PHAVU_009G260100g,"1968,4834840595","7,5350192749","2,046815948","3,6813369968","0,0002320141","0,0359346195"
,,,,,,
min,"27,092123292","4,4288342967","1,7138330027","2,5768838401","8,62535001920591E-07","0,0031411599"
max,"196155,248456618","13,9669323402","3,1963154932","4,920658536","0,0099695447","0,4249416573"
moy,"4214,8502846486","7,3890877514","2,1977339517","3,3304881937","0,0026805304","0,1355774966"
,,,,,,
,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
